# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b
1.823437499999999989e-01 7.539062500000000000e-01 3.218750000000000083e-02
2.060937499999999922e-01 7.226562500000000000e-01 5.968750000000000444e-02
3.960937500000000222e-01 9.726562500000000000e-01 3.968750000000000056e-02
4.910937499999999956e-01 5.976562500000000000e-01 4.968750000000000250e-02
3.010937499999999933e-01 8.476562500000000000e-01 6.968750000000001332e-02
2.535937500000000067e-01 5.351562500000000000e-01 3.468749999999999611e-02
4.435937500000000089e-01 7.851562500000000000e-01 5.468750000000000000e-02
3.485937500000000355e-01 6.601562500000000000e-01 6.468750000000000888e-02
1.585937500000000056e-01 9.101562500000000000e-01 4.468750000000000500e-02
1.467187500000000089e-01 6.757812500000000000e-01 3.843749999999999944e-02
3.367187500000000111e-01 9.257812500000000000e-01 5.843750000000000333e-02
4.317187499999999845e-01 5.507812500000000000e-01 6.843750000000001221e-02
2.417187499999999822e-01 8.007812500000000000e-01 4.843750000000000139e-02
2.892187499999999689e-01 6.132812500000000000e-01 5.343749999999999889e-02
4.792187500000000266e-01 8.632812500000000000e-01 3.343750000000000194e-02
3.842187499999999978e-01 7.382812500000000000e-01 4.343750000000000389e-02
1.942187499999999956e-01 9.882812500000000000e-01 6.343750000000000777e-02
1.704687500000000022e-01 5.195312500000000000e-01 4.593750000000000611e-02
3.604687500000000044e-01 7.695312500000000000e-01 6.593750000000000999e-02
4.554687499999999778e-01 6.445312500000000000e-01 5.593750000000000111e-02
2.654687500000000311e-01 8.945312500000000000e-01 3.593749999999999722e-02
2.179687499999999889e-01 7.070312500000000000e-01 6.093750000000000555e-02
4.079687499999999911e-01 9.570312500000000000e-01 4.093750000000000167e-02
3.129687500000000178e-01 5.820312500000000000e-01 3.093749999999999972e-02
1.229687500000000017e-01 8.320312500000000000e-01 5.093750000000000361e-02
1.244531249999999978e-01 6.660156250000000000e-01 6.140625000000000250e-02
3.144531250000000000e-01 9.160156250000000000e-01 4.140624999999999861e-02
4.094531249999999734e-01 5.410156250000000000e-01 3.140624999999999667e-02
2.194531249999999989e-01 7.910156250000000000e-01 5.140625000000000056e-02
2.669531250000000133e-01 6.035156250000000000e-01 4.640625000000000305e-02
4.569531250000000155e-01 8.535156250000000000e-01 6.640625000000000000e-02
3.619531249999999867e-01 7.285156250000000000e-01 5.640625000000000500e-02
1.719531249999999845e-01 9.785156250000000000e-01 3.640625000000000111e-02
1.957031249999999778e-01 5.097656250000000000e-01 5.390625000000000278e-02
3.857031249999999800e-01 7.597656250000000000e-01 3.390624999999999889e-02
4.807031250000000089e-01 6.347656250000000000e-01 4.390625000000000083e-02
2.907031250000000067e-01 8.847656250000000000e-01 6.390624999999999778e-02
2.432031249999999922e-01 6.972656250000000000e-01 3.890625000000000333e-02
4.332031250000000222e-01 9.472656250000000000e-01 5.890625000000000722e-02
3.382031249999999933e-01 5.722656250000000000e-01 6.890625000000000222e-02
1.482031249999999911e-01 8.222656250000000000e-01 4.890624999999999833e-02
1.600781249999999878e-01 5.878906250000000000e-01 3.265624999999999778e-02
3.500781250000000178e-01 8.378906250000000000e-01 5.265625000000000167e-02
4.450781249999999911e-01 7.128906250000000000e-01 6.265624999999999667e-02
2.550781249999999889e-01 9.628906250000000000e-01 4.265624999999999972e-02
3.025781250000000311e-01 6.503906250000000000e-01 5.765625000000000611e-02
4.925781249999999778e-01 9.003906250000000000e-01 3.765625000000000222e-02
3.975781250000000044e-01 5.253906250000000000e-01 4.765624999999999722e-02
2.075781250000000022e-01 7.753906250000000000e-01 6.765625000000000111e-02
1.838281250000000089e-01 7.441406250000000000e-01 4.015625000000000444e-02
3.738281250000000111e-01 9.941406250000000000e-01 6.015625000000000833e-02
4.688281249999999845e-01 6.191406250000000000e-01 5.015624999999999944e-02
2.788281249999999822e-01 8.691406250000000000e-01 3.015624999999999903e-02
2.313281249999999956e-01 5.566406250000000000e-01 6.515624999999999889e-02
4.213281249999999978e-01 8.066406250000000000e-01 4.515625000000000194e-02
3.263281249999999689e-01 6.816406250000000000e-01 3.515625000000000000e-02
1.363281249999999944e-01 9.316406250000000000e-01 5.515625000000000389e-02
1.422656250000000067e-01 5.332031250000000000e-01 4.328125000000000028e-02
3.322656250000000089e-01 7.832031250000000000e-01 6.328125000000001110e-02
4.272656249999999822e-01 6.582031250000000000e-01 5.328125000000000222e-02
2.372656249999999800e-01 9.082031250000000000e-01 3.328124999999999833e-02
2.847656250000000222e-01 7.207031250000000000e-01 6.828125000000001554e-02
4.747656250000000244e-01 9.707031250000000000e-01 4.828124999999999778e-02
3.797656249999999956e-01 5.957031250000000000e-01 3.828125000000000278e-02
1.897656249999999933e-01 8.457031250000000000e-01 5.828125000000000666e-02
2.135156249999999867e-01 6.269531250000000000e-01 3.078124999999999958e-02
4.035156249999999889e-01 8.769531250000000000e-01 5.078125000000000000e-02
4.985156250000000178e-01 5.019531250000000000e-01 6.078125000000000888e-02
3.085156249999999600e-01 7.519531250000000000e-01 4.078125000000000500e-02
2.610156249999999734e-01 5.644531250000000000e-01 5.578125000000000444e-02
4.510156249999999756e-01 8.144531250000000000e-01 3.578125000000000056e-02
3.560156250000000022e-01 6.894531250000000000e-01 4.578125000000000250e-02
1.660156250000000000e-01 9.394531250000000000e-01 6.578125000000001332e-02
1.541406250000000033e-01 7.050781250000000000e-01 5.203125000000000111e-02
3.441406249999999778e-01 9.550781250000000000e-01 3.203124999999999722e-02
4.391406250000000067e-01 5.800781250000000000e-01 4.203124999999999917e-02
2.491406250000000044e-01 8.300781250000000000e-01 6.203125000000000305e-02
2.966406249999999911e-01 5.175781250000000000e-01 3.703125000000000167e-02
4.866406249999999933e-01 7.675781250000000000e-01 5.703125000000000555e-02
3.916406250000000200e-01 6.425781250000000000e-01 6.703125000000001443e-02
2.016406249999999900e-01 8.925781250000000000e-01 4.703125000000000361e-02
1.778906249999999967e-01 6.113281250000000000e-01 6.453125000000001221e-02
3.678906250000000266e-01 8.613281250000000000e-01 4.453125000000000139e-02
4.628906250000000000e-01 7.363281250000000000e-01 3.453124999999999944e-02
2.728906249999999978e-01 9.863281250000000000e-01 5.453125000000000333e-02
2.253906250000000111e-01 6.738281250000000000e-01 4.953124999999999889e-02
4.153906250000000133e-01 9.238281250000000000e-01 6.953125000000001665e-02
3.203906249999999845e-01 5.488281250000000000e-01 5.953125000000000777e-02
1.303906249999999822e-01 7.988281250000000000e-01 3.953125000000000389e-02
1.274218749999999900e-01 5.996093750000000000e-01 5.921875000000000056e-02
3.174218749999999645e-01 8.496093750000000000e-01 3.921874999999999667e-02
4.124218749999999933e-01 7.246093750000000000e-01 4.921875000000000555e-02
2.224218749999999911e-01 9.746093750000000000e-01 6.921875000000000944e-02
2.699218749999999778e-01 6.621093750000000000e-01 3.421874999999999917e-02
4.599218749999999800e-01 9.121093750000000000e-01 5.421875000000000305e-02
3.649218750000000067e-01 5.371093750000000000e-01 6.421875000000000500e-02
1.749218750000000044e-01 7.871093750000000000e-01 4.421875000000000111e-02
1.986718749999999978e-01 6.933593750000000000e-01 6.671875000000000722e-02
3.886718750000000000e-01 9.433593750000000000e-01 4.671875000000000333e-02
4.836718749999999734e-01 5.683593750000000000e-01 3.671875000000000139e-02
2.936718750000000266e-01 8.183593750000000000e-01 5.671875000000000527e-02
2.461718749999999845e-01 5.058593750000000000e-01 4.171874999999999889e-02
4.361718749999999867e-01 7.558593750000000000e-01 6.171875000000000278e-02
3.411718750000000133e-01 6.308593750000000000e-01 5.171875000000000777e-02
1.511718750000000111e-01 8.808593750000000000e-01 3.171874999999999695e-02
1.630468749999999800e-01 6.464843750000000000e-01 4.546875000000000222e-02
3.530468749999999822e-01 8.964843750000000000e-01 6.546875000000000611e-02
4.480468750000000111e-01 5.214843750000000000e-01 5.546875000000000416e-02
2.580468750000000089e-01 7.714843750000000000e-01 3.546875000000000028e-02
3.055468749999999956e-01 5.839843750000000000e-01 6.046875000000000167e-02
4.955468749999999978e-01 8.339843750000000000e-01 4.046874999999999778e-02
4.005468750000000244e-01 7.089843750000000000e-01 3.046874999999999931e-02
2.105468749999999944e-01 9.589843750000000000e-01 5.046875000000000666e-02
1.867968750000000011e-01 5.527343750000000000e-01 3.796875000000000250e-02
3.767968749999999756e-01 8.027343750000000000e-01 5.796874999999999944e-02
4.717968750000000044e-01 6.777343750000000000e-01 6.796875000000000833e-02
2.817968750000000022e-01 9.277343750000000000e-01 4.796875000000000444e-02
2.342968750000000155e-01 7.402343750000000000e-01 5.296875000000000194e-02
4.242968750000000178e-01 9.902343750000000000e-01 3.296874999999999806e-02
3.292968749999999889e-01 6.152343750000000000e-01 4.296875000000000000e-02
1.392968749999999867e-01 8.652343750000000000e-01 6.296875000000000389e-02
1.333593750000000022e-01 7.324218750000000000e-01 3.609375000000000083e-02
3.233593750000000044e-01 9.824218750000000000e-01 5.609375000000000472e-02
4.183593749999999778e-01 6.074218750000000000e-01 6.609375000000000666e-02
2.283593750000000033e-01 8.574218750000000000e-01 4.609375000000000278e-02
2.758593750000000178e-01 5.449218750000000000e-01 5.109375000000000722e-02
4.658593750000000200e-01 7.949218750000000000e-01 3.109374999999999986e-02
3.708593749999999911e-01 6.699218750000000000e-01 4.109374999999999833e-02
1.808593749999999889e-01 9.199218750000000000e-01 6.109375000000000222e-02
2.046093749999999822e-01 5.761718750000000000e-01 4.859375000000000500e-02
3.946093749999999845e-01 8.261718750000000000e-01 6.859375000000000888e-02
4.896093750000000133e-01 7.011718750000000000e-01 5.859375000000000000e-02
2.996093750000000111e-01 9.511718750000000000e-01 3.859375000000000305e-02
2.521093749999999689e-01 6.386718750000000000e-01 6.359375000000000444e-02
4.421093750000000266e-01 8.886718750000000000e-01 4.359375000000000056e-02
3.471093749999999978e-01 5.136718750000000000e-01 3.359374999999999861e-02
1.571093749999999956e-01 7.636718750000000000e-01 5.359375000000000250e-02
1.452343749999999989e-01 5.292968750000000000e-01 6.984375000000000999e-02
3.352343749999999734e-01 7.792968750000000000e-01 4.984375000000000611e-02
4.302343750000000022e-01 6.542968750000000000e-01 3.984374999999999722e-02
2.402343750000000000e-01 9.042968750000000000e-01 5.984375000000000111e-02
2.877343749999999867e-01 7.167968750000000000e-01 4.484375000000000167e-02
4.777343749999999889e-01 9.667968750000000000e-01 6.484375000000000555e-02
3.827343750000000155e-01 5.917968750000000000e-01 5.484375000000000361e-02
1.927343750000000133e-01 8.417968750000000000e-01 3.484374999999999972e-02
1.689843749999999922e-01 6.855468750000000000e-01 5.734375000000000583e-02
3.589843750000000222e-01 9.355468750000000000e-01 3.734375000000000194e-02
4.539843749999999956e-01 5.605468750000000000e-01 4.734375000000000389e-02
2.639843749999999933e-01 8.105468750000000000e-01 6.734375000000000777e-02
2.164843750000000067e-01 6.230468750000000000e-01 3.234374999999999750e-02
4.064843750000000089e-01 8.730468750000000000e-01 5.234375000000000833e-02
3.114843750000000355e-01 7.480468750000000000e-01 6.234375000000000333e-02
1.214843749999999917e-01 9.980468750000000000e-01 4.234374999999999944e-02
1.222265624999999967e-01 7.490234375000000000e-01 5.617187500000000305e-02
3.122265625000000266e-01 9.990234375000000000e-01 3.617187499999999917e-02
4.072265625000000000e-01 6.240234375000000000e-01 4.617187500000000111e-02
2.172265624999999978e-01 8.740234375000000000e-01 6.617187500000000500e-02
2.647265624999999845e-01 5.615234375000000000e-01 3.117187499999999820e-02
4.547265624999999867e-01 8.115234375000000000e-01 5.117187500000000555e-02
3.597265625000000133e-01 6.865234375000000000e-01 6.117187500000000056e-02
1.697265625000000111e-01 9.365234375000000000e-01 4.117187500000000361e-02
1.934765625000000044e-01 5.927734375000000000e-01 6.867187500000000722e-02
3.834765625000000067e-01 8.427734375000000000e-01 4.867187500000000333e-02
4.784765624999999800e-01 7.177734375000000000e-01 3.867187500000000139e-02
2.884765624999999778e-01 9.677734375000000000e-01 5.867187500000000527e-02
2.409765624999999911e-01 6.552734375000000000e-01 4.367187499999999889e-02
4.309765624999999933e-01 9.052734375000000000e-01 6.367187500000000278e-02
3.359765624999999645e-01 5.302734375000000000e-01 5.367187500000000777e-02
1.459765624999999900e-01 7.802734375000000000e-01 3.367187499999999695e-02
1.578515624999999867e-01 5.146484375000000000e-01 4.992187500000000444e-02
3.478515624999999889e-01 7.646484375000000000e-01 6.992187500000000833e-02
4.428515625000000178e-01 6.396484375000000000e-01 5.992187500000000638e-02
2.528515624999999600e-01 8.896484375000000000e-01 3.992187500000000250e-02
3.003515625000000022e-01 7.021484375000000000e-01 6.492187500000000389e-02
4.903515625000000044e-01 9.521484375000000000e-01 4.492187500000000000e-02
3.953515624999999756e-01 5.771484375000000000e-01 3.492187499999999806e-02
2.053515625000000011e-01 8.271484375000000000e-01 5.492187500000000888e-02
1.816015624999999800e-01 6.708984375000000000e-01 3.742187500000000028e-02
3.716015624999999822e-01 9.208984375000000000e-01 5.742187500000000416e-02
4.666015625000000111e-01 5.458984375000000000e-01 6.742187500000000611e-02
2.766015625000000089e-01 7.958984375000000000e-01 4.742187500000000222e-02
2.291015624999999944e-01 6.083984375000000000e-01 5.242187500000000666e-02
4.191015625000000244e-01 8.583984375000000000e-01 3.242187500000000278e-02
3.241015624999999956e-01 7.333984375000000000e-01 4.242187499999999778e-02
1.341015624999999933e-01 9.833984375000000000e-01 6.242187500000000860e-02
1.400390625000000056e-01 6.162109375000000000e-01 3.929687500000000194e-02
3.300390625000000355e-01 8.662109375000000000e-01 5.929687500000000583e-02
4.250390625000000089e-01 7.412109375000000000e-01 6.929687500000000777e-02
2.350390625000000067e-01 9.912109375000000000e-01 4.929687500000000389e-02
2.825390624999999933e-01 6.787109375000000000e-01 5.429687500000000833e-02
4.725390624999999956e-01 9.287109375000000000e-01 3.429687499999999750e-02
3.775390625000000222e-01 5.537109375000000000e-01 4.429687499999999944e-02
1.875390624999999922e-01 8.037109375000000000e-01 6.429687500000000333e-02
2.112890625000000133e-01 7.099609375000000000e-01 4.679687500000000167e-02
4.012890625000000155e-01 9.599609375000000000e-01 6.679687500000000555e-02
4.962890624999999889e-01 5.849609375000000000e-01 5.679687500000000361e-02
3.062890624999999867e-01 8.349609375000000000e-01 3.679687499999999972e-02
2.587890625000000000e-01 5.224609375000000000e-01 6.179687500000000805e-02
4.487890625000000022e-01 7.724609375000000000e-01 4.179687499999999722e-02
3.537890624999999734e-01 6.474609375000000000e-01 3.179687500000000222e-02
1.637890624999999989e-01 8.974609375000000000e-01 5.179687500000000611e-02
1.519140625000000022e-01 6.318359375000000000e-01 6.554687500000000444e-02
3.419140625000000044e-01 8.818359375000000000e-01 4.554687500000000056e-02
4.369140624999999778e-01 5.068359375000000000e-01 3.554687499999999861e-02
2.469140625000000033e-01 7.568359375000000000e-01 5.554687500000000250e-02
2.944140625000000178e-01 5.693359375000000000e-01 4.054687500000000305e-02
4.844140625000000200e-01 8.193359375000000000e-01 6.054687500000000000e-02
3.894140624999999911e-01 6.943359375000000000e-01 5.054687500000000500e-02
1.994140624999999889e-01 9.443359375000000000e-01 3.054687499999999764e-02
1.756640624999999956e-01 5.380859375000000000e-01 5.804687500000000472e-02
3.656640624999999978e-01 7.880859375000000000e-01 3.804687500000000083e-02
4.606640625000000266e-01 6.630859375000000000e-01 4.804687500000000278e-02
2.706640624999999689e-01 9.130859375000000000e-01 6.804687500000000666e-02
2.231640624999999822e-01 7.255859375000000000e-01 3.304687499999999639e-02
4.131640624999999845e-01 9.755859375000000000e-01 5.304687500000000722e-02
3.181640625000000111e-01 6.005859375000000000e-01 6.304687500000000222e-02
1.281640625000000089e-01 8.505859375000000000e-01 4.304687499999999833e-02
1.311328125000000011e-01 5.498046875000000000e-01 6.335937499999999556e-02
3.211328125000000311e-01 7.998046875000000000e-01 4.335937500000000555e-02
4.161328125000000044e-01 6.748046875000000000e-01 3.335937499999999667e-02
2.261328125000000022e-01 9.248046875000000000e-01 5.335937500000000056e-02
2.736328124999999889e-01 7.373046875000000000e-01 4.835937500000000305e-02
4.636328124999999911e-01 9.873046875000000000e-01 6.835937500000000000e-02
3.686328125000000178e-01 6.123046875000000000e-01 5.835937500000000500e-02
1.786328124999999878e-01 8.623046875000000000e-01 3.835937500000000111e-02
2.023828125000000089e-01 6.435546875000000000e-01 5.085937499999999833e-02
3.923828125000000111e-01 8.935546875000000000e-01 3.085937499999999792e-02
4.873828124999999845e-01 5.185546875000000000e-01 4.085937500000000333e-02
2.973828124999999822e-01 7.685546875000000000e-01 6.085937500000000722e-02
2.498828124999999956e-01 5.810546875000000000e-01 3.585937499999999889e-02
4.398828124999999978e-01 8.310546875000000000e-01 5.585937500000000278e-02
3.448828124999999689e-01 7.060546875000000000e-01 6.585937499999999778e-02
1.548828124999999944e-01 9.560546875000000000e-01 4.585937500000000083e-02
1.667578124999999911e-01 6.904296875000000000e-01 3.210937500000000250e-02
3.567578124999999933e-01 9.404296875000000000e-01 5.210937499999999944e-02
4.517578125000000222e-01 5.654296875000000000e-01 6.210937500000000833e-02
2.617578124999999645e-01 8.154296875000000000e-01 4.210937500000000444e-02
3.092578125000000067e-01 5.029296875000000000e-01 5.710937500000000389e-02
4.992578125000000089e-01 7.529296875000000000e-01 3.710937500000000000e-02
4.042578124999999800e-01 6.279296875000000000e-01 4.710937500000000194e-02
2.142578124999999778e-01 8.779296875000000000e-01 6.710937499999999889e-02
1.905078124999999845e-01 5.966796875000000000e-01 4.460937499999999972e-02
3.805078124999999867e-01 8.466796875000000000e-01 6.460937499999999667e-02
4.755078125000000155e-01 7.216796875000000000e-01 5.460937500000000167e-02
2.855078125000000133e-01 9.716796875000000000e-01 3.460937499999999778e-02
2.380078124999999989e-01 6.591796875000000000e-01 6.960937500000000111e-02
4.280078124999999734e-01 9.091796875000000000e-01 4.960937500000000416e-02
3.330078125000000000e-01 5.341796875000000000e-01 3.960937500000000222e-02
1.430078124999999978e-01 7.841796875000000000e-01 5.960937500000000611e-02
1.370703124999999856e-01 6.826171875000000000e-01 4.148437500000000389e-02
3.270703124999999600e-01 9.326171875000000000e-01 6.148437500000000777e-02
4.220703124999999889e-01 5.576171875000000000e-01 5.148437499999999889e-02
2.320703124999999867e-01 8.076171875000000000e-01 3.148437500000000194e-02
2.795703124999999734e-01 6.201171875000000000e-01 6.648437500000001221e-02
4.695703124999999756e-01 8.701171875000000000e-01 4.648437500000000139e-02
3.745703125000000022e-01 7.451171875000000000e-01 3.648437499999999944e-02
1.845703125000000000e-01 9.951171875000000000e-01 5.648437500000000333e-02
2.083203124999999933e-01 5.263671875000000000e-01 3.398437499999999722e-02
3.983203124999999956e-01 7.763671875000000000e-01 5.398437500000000111e-02
4.933203125000000244e-01 6.513671875000000000e-01 6.398437500000000999e-02
3.033203125000000222e-01 9.013671875000000000e-01 4.398437499999999917e-02
2.558203125000000355e-01 7.138671875000000000e-01 5.898437500000000555e-02
4.458203124999999822e-01 9.638671875000000000e-01 3.898437500000000167e-02
3.508203125000000089e-01 5.888671875000000000e-01 4.898437500000000361e-02
1.608203125000000067e-01 8.388671875000000000e-01 6.898437500000001443e-02
1.489453124999999822e-01 5.732421875000000000e-01 5.273437500000000000e-02
3.389453124999999845e-01 8.232421875000000000e-01 3.273437499999999611e-02
4.339453125000000133e-01 6.982421875000000000e-01 4.273437500000000500e-02
2.439453125000000111e-01 9.482421875000000000e-01 6.273437500000000888e-02
2.914453124999999978e-01 6.357421875000000000e-01 3.773437500000000056e-02
4.814453125000000000e-01 8.857421875000000000e-01 5.773437500000000444e-02
3.864453124999999711e-01 5.107421875000000000e-01 6.773437500000001332e-02
1.964453124999999967e-01 7.607421875000000000e-01 4.773437500000000250e-02
1.726953125000000033e-01 7.294921875000000000e-01 6.023437500000000666e-02
3.626953124999999778e-01 9.794921875000000000e-01 4.023437500000000278e-02
4.576953125000000067e-01 6.044921875000000000e-01 3.023437499999999736e-02
2.676953125000000044e-01 8.544921875000000000e-01 5.023437499999999778e-02
2.201953124999999900e-01 5.419921875000000000e-01 4.523437500000000028e-02
4.101953125000000200e-01 7.919921875000000000e-01 6.523437500000001110e-02
3.151953124999999911e-01 6.669921875000000000e-01 5.523437500000000222e-02
1.251953124999999889e-01 9.169921875000000000e-01 3.523437499999999833e-02
1.237109374999999928e-01 5.830078125000000000e-01 4.726562500000000555e-02
3.137109375000000089e-01 8.330078125000000000e-01 6.726562500000000944e-02
4.087109374999999822e-01 7.080078125000000000e-01 5.726562500000000056e-02
