# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--omega_b baryons--bacco_M_c baryons--bacco_M1_z0_cen baryons--bacco_beta baryons--bacco_eta baryons--bacco_theta_inn
3.339355468749999889e-01 9.074707031250000000e-01 4.357421875000000444e-02 1.325488281250000000e+01 1.127148437500000000e+01 6.477050781250000000e-01 1.323242187499995559e-02 -3.115234375000000000e-01
4.289355468750000178e-01 5.324707031250000000e-01 3.357421875000000250e-02 1.175488281250000000e+01 1.227148437500000000e+01 -6.272949218750000222e-01 -2.117675781250000222e-01 -1.811523437500000000e+00
2.389355468750000155e-01 7.824707031250000000e-01 5.357421874999999944e-02 1.475488281250000000e+01 1.027148437500000000e+01 2.227050781249999556e-01 -6.617675781249999778e-01 -8.115234375000000000e-01
2.864355468750000022e-01 5.949707031250000000e-01 4.857421875000000194e-02 1.100488281250000000e+01 1.277148437500000000e+01 1.020507812500004441e-02 -3.242675781250000111e-01 -6.152343750000000000e-02
4.764355468750000044e-01 8.449707031250000000e-01 6.857421874999999889e-02 1.400488281250000000e+01 1.077148437500000000e+01 -8.397949218750000444e-01 1.257324218750000000e-01 -1.061523437500000000e+00
3.814355468749999756e-01 7.199707031250000000e-01 5.857421875000000389e-02 1.250488281250000000e+01 9.771484375000000000e+00 4.352050781249998668e-01 -9.926757812499997780e-02 -5.615234375000000000e-01
1.914355468750000011e-01 9.699707031250000000e-01 3.857421875000000000e-02 1.550488281250000000e+01 1.177148437500000000e+01 -4.147949218750000000e-01 -5.492675781249999334e-01 -1.561523437500000000e+00
1.676855468749999800e-01 5.012207031250000000e-01 5.107421875000000416e-02 1.437988281250000000e+01 1.102148437500000000e+01 -5.210449218749999556e-01 -3.805175781249999778e-01 -6.865234375000000000e-01
3.576855468749999822e-01 7.512207031250000000e-01 3.107421875000000028e-02 1.137988281250000000e+01 9.021484375000000000e+00 3.289550781249999112e-01 6.948242187499997780e-02 -1.686523437500000000e+00
4.526855468750000111e-01 6.262207031250000000e-01 4.107421875000000222e-02 1.587988281250000000e+01 1.002148437500000000e+01 -9.460449218750000000e-01 -1.555175781250000000e-01 -1.865234375000000000e-01
2.626855468750000089e-01 8.762207031250000000e-01 6.107421875000000611e-02 1.287988281250000000e+01 1.202148437500000000e+01 -9.604492187500002220e-02 -6.055175781249999556e-01 -1.186523437500000000e+00
2.151855468749999944e-01 6.887207031250000000e-01 3.607421874999999778e-02 1.362988281250000000e+01 1.052148437500000000e+01 1.164550781250000000e-01 -2.680175781249999889e-01 -1.936523437500000000e+00
4.051855468750000244e-01 9.387207031250000000e-01 5.607421875000000167e-02 1.062988281250000000e+01 1.252148437500000000e+01 -7.335449218750000888e-01 1.819824218749999112e-01 -9.365234375000000000e-01
3.101855468749999956e-01 5.637207031250000000e-01 6.607421874999999667e-02 1.512988281250000000e+01 1.152148437500000000e+01 5.414550781250000444e-01 -4.301757812500006661e-02 -1.436523437500000000e+00
1.201855468749999933e-01 8.137207031250000000e-01 4.607421875000000666e-02 1.212988281250000000e+01 9.521484375000000000e+00 -3.085449218750000444e-01 -4.930175781249999667e-01 -4.365234375000000000e-01
1.202783203124999922e-01 6.568603515625000000e-01 5.395507812500000000e-02 1.242138671875000000e+01 1.030566406250000000e+01 -1.594238281250004441e-02 -1.100341796875000666e-01 -1.557617187500000000e-01
3.102783203125000222e-01 9.068603515625000000e-01 3.395507812499999611e-02 1.542138671875000000e+01 1.230566406250000000e+01 -8.659423828125000222e-01 -5.600341796874999112e-01 -1.155761718750000000e+00
4.052783203124999956e-01 5.318603515625000000e-01 4.395507812500000500e-02 1.092138671875000000e+01 1.130566406250000000e+01 4.090576171875000000e-01 -3.350341796874999889e-01 -6.557617187500000000e-01
2.152783203124999933e-01 7.818603515625000000e-01 6.395507812500000888e-02 1.392138671875000000e+01 9.305664062500000000e+00 -4.409423828124999778e-01 1.149658203124999112e-01 -1.655761718750000000e+00
2.627783203125000355e-01 5.943603515625000000e-01 3.895507812500000056e-02 1.167138671875000000e+01 1.180566406250000000e+01 -2.284423828125000666e-01 -2.225341796875000000e-01 -1.405761718750000000e+00
4.527783203124999822e-01 8.443603515625000000e-01 5.895507812500000444e-02 1.467138671875000000e+01 9.805664062500000000e+00 6.215576171874999112e-01 -6.725341796874999556e-01 -4.057617187500000000e-01
3.577783203125000089e-01 7.193603515625000000e-01 6.895507812500001332e-02 1.017138671875000000e+01 1.080566406250000000e+01 -6.534423828125000000e-01 -4.475341796874999778e-01 -1.905761718750000000e+00
1.677783203125000067e-01 9.693603515625000000e-01 4.895507812500000250e-02 1.317138671875000000e+01 1.280566406250000000e+01 1.965576171874998668e-01 2.465820312499977796e-03 -9.057617187500000000e-01
1.915283203125000000e-01 5.006103515625000000e-01 6.145507812500000666e-02 1.504638671875000000e+01 1.205566406250000000e+01 9.030761718749991118e-02 -5.378417968750004441e-02 -1.780761718750000000e+00
3.815283203125000022e-01 7.506103515625000000e-01 4.145507812500000278e-02 1.204638671875000000e+01 1.005566406250000000e+01 -7.596923828124999556e-01 -5.037841796875000000e-01 -7.807617187500000000e-01
4.765283203124999756e-01 6.256103515625000000e-01 3.145507812500000083e-02 1.354638671875000000e+01 9.055664062500000000e+00 5.153076171874999556e-01 -2.787841796875000222e-01 -1.280761718750000000e+00
2.865283203124999734e-01 8.756103515625000000e-01 5.145507812500000472e-02 1.054638671875000000e+01 1.105566406250000000e+01 -3.346923828125000222e-01 1.712158203124999334e-01 -2.807617187500000000e-01
2.390283203124999867e-01 6.881103515625000000e-01 4.645507812500000722e-02 1.579638671875000000e+01 9.555664062500000000e+00 -5.471923828125000444e-01 -1.662841796874999778e-01 -5.307617187500000000e-01
4.290283203124999889e-01 9.381103515625000000e-01 6.645507812500001110e-02 1.279638671875000000e+01 1.155566406250000000e+01 3.028076171875000444e-01 -6.162841796874999334e-01 -1.530761718750000000e+00
3.340283203124999600e-01 5.631103515625000000e-01 5.645507812500000222e-02 1.429638671875000000e+01 1.255566406250000000e+01 -9.721923828124999778e-01 -3.912841796875000111e-01 -3.076171875000000000e-02
1.440283203124999856e-01 8.131103515625000000e-01 3.645507812499999833e-02 1.129638671875000000e+01 1.055566406250000000e+01 -1.221923828125000000e-01 5.871582031250000000e-02 -1.030761718750000000e+00
1.559033203124999822e-01 5.787353515625000000e-01 4.020507812500000167e-02 1.035888671875000000e+01 9.430664062500000000e+00 3.559326171874999112e-01 -5.319091796874999556e-01 -1.593261718750000000e+00
3.459033203124999845e-01 8.287353515625000000e-01 6.020507812500000555e-02 1.335888671875000000e+01 1.143066406250000000e+01 -4.940673828125000666e-01 -8.190917968750000000e-02 -5.932617187500000000e-01
4.409033203125000133e-01 7.037353515625000000e-01 5.020507812500000361e-02 1.185888671875000000e+01 1.243066406250000000e+01 -6.906738281250002220e-02 1.430908203124999778e-01 -1.093261718750000000e+00
2.509033203124999556e-01 9.537353515625000000e-01 3.020507812499999972e-02 1.485888671875000000e+01 1.043066406250000000e+01 -9.190673828125000000e-01 -3.069091796874999778e-01 -9.326171875000000000e-02
2.984033203124999978e-01 6.412353515625000000e-01 6.520507812500000999e-02 1.110888671875000000e+01 1.293066406250000000e+01 -7.065673828125000888e-01 -6.444091796875000000e-01 -8.432617187500000000e-01
4.884033203125000000e-01 8.912353515625000000e-01 4.520507812500000611e-02 1.410888671875000000e+01 1.093066406250000000e+01 1.434326171875000000e-01 -1.944091796875000444e-01 -1.843261718750000000e+00
3.934033203124999711e-01 5.162353515625000000e-01 3.520507812499999722e-02 1.260888671875000000e+01 9.930664062500000000e+00 -2.815673828125000444e-01 3.059082031249993339e-02 -3.432617187500000000e-01
2.034033203124999967e-01 7.662353515625000000e-01 5.520507812500000111e-02 1.560888671875000000e+01 1.193066406250000000e+01 5.684326171875000444e-01 -4.194091796874999667e-01 -1.343261718750000000e+00
1.796533203125000033e-01 7.349853515625000000e-01 3.270507812500000194e-02 1.448388671875000000e+01 1.118066406250000000e+01 6.746826171875000000e-01 -4.756591796874999889e-01 -4.682617187500000000e-01
3.696533203124999778e-01 9.849853515625000000e-01 5.270507812499999889e-02 1.148388671875000000e+01 9.180664062500000000e+00 -1.753173828124999778e-01 -2.565917968749997780e-02 -1.468261718750000000e+00
4.646533203125000067e-01 6.099853515625000000e-01 6.270507812500000777e-02 1.598388671875000000e+01 1.018066406250000000e+01 2.496826171874999556e-01 1.993408203125000000e-01 -9.682617187500000000e-01
2.746533203125000044e-01 8.599853515625000000e-01 4.270507812500000389e-02 1.298388671875000000e+01 1.218066406250000000e+01 -6.003173828125000222e-01 -2.506591796875000111e-01 -1.968261718750000000e+00
2.271533203124999900e-01 5.474853515625000000e-01 5.770507812500000333e-02 1.373388671875000000e+01 1.068066406250000000e+01 -8.128173828125000444e-01 -5.881591796874999778e-01 -1.218261718750000000e+00
4.171533203125000200e-01 7.974853515625000000e-01 3.770507812499999944e-02 1.073388671875000000e+01 1.268066406250000000e+01 3.718261718750004441e-02 -1.381591796875000222e-01 -2.182617187500000000e-01
3.221533203124999911e-01 6.724853515625000000e-01 4.770507812500000139e-02 1.523388671875000000e+01 1.168066406250000000e+01 -3.878173828125000000e-01 8.684082031249995559e-02 -1.718261718750000000e+00
1.321533203124999889e-01 9.224853515625000000e-01 6.770507812500001221e-02 1.223388671875000000e+01 9.680664062500000000e+00 4.621826171874998668e-01 -3.631591796875000000e-01 -7.182617187500000000e-01
1.380908203125000011e-01 5.396728515625000000e-01 3.083007812500000028e-02 1.570263671875000000e+01 1.261816406250000000e+01 -6.800048828125000444e-01 1.009033203124999334e-01 -1.499511718750000000e+00
3.280908203125000311e-01 7.896728515625000000e-01 5.083007812500000416e-02 1.270263671875000000e+01 1.061816406250000000e+01 1.699951171875000444e-01 -3.490966796874999667e-01 -4.995117187500000000e-01
4.230908203125000044e-01 6.646728515625000000e-01 6.083007812500000611e-02 1.420263671875000000e+01 9.618164062500000000e+00 -2.550048828125000000e-01 -5.740966796875000000e-01 -1.999511718750000000e+00
2.330908203125000022e-01 9.146728515625000000e-01 4.083007812500000222e-02 1.120263671875000000e+01 1.161816406250000000e+01 5.949951171874998668e-01 -1.240966796875000444e-01 -9.995117187500000000e-01
2.805908203124999889e-01 7.271728515625000000e-01 5.583007812500000167e-02 1.495263671875000000e+01 9.118164062500000000e+00 3.824951171874999556e-01 -1.159667968750000000e-02 -2.495117187500000000e-01
4.705908203124999911e-01 9.771728515625000000e-01 3.583007812499999778e-02 1.195263671875000000e+01 1.111816406250000000e+01 -4.675048828125000222e-01 -4.615966796874999556e-01 -1.249511718750000000e+00
3.755908203125000178e-01 6.021728515625000000e-01 4.583007812500000666e-02 1.345263671875000000e+01 1.211816406250000000e+01 -4.250488281249997780e-02 -6.865966796874999334e-01 -7.495117187500000000e-01
1.855908203125000155e-01 8.521728515625000000e-01 6.583007812499999667e-02 1.045263671875000000e+01 1.011816406250000000e+01 -8.925048828124999556e-01 -2.365966796874999778e-01 -1.749511718750000000e+00
2.093408203125000089e-01 6.334228515625000000e-01 4.333007812500000444e-02 1.157763671875000000e+01 1.086816406250000000e+01 -9.987548828125000222e-01 1.571533203124999556e-01 -6.245117187500000000e-01
3.993408203125000111e-01 8.834228515625000000e-01 6.333007812500000833e-02 1.457763671875000000e+01 1.286816406250000000e+01 -1.487548828125000444e-01 -2.928466796875000000e-01 -1.624511718750000000e+00
4.943408203124999845e-01 5.084228515625000000e-01 5.333007812499999944e-02 1.007763671875000000e+01 1.186816406250000000e+01 -5.737548828125000888e-01 -5.178466796874999778e-01 -1.245117187500000000e-01
3.043408203124999822e-01 7.584228515625000000e-01 3.333007812500000250e-02 1.307763671875000000e+01 9.868164062500000000e+00 2.762451171875000000e-01 -6.784667968750002220e-02 -1.124511718750000000e+00
2.568408203124999956e-01 5.709228515625000000e-01 6.833007812499999889e-02 1.232763671875000000e+01 1.136816406250000000e+01 4.887451171874999112e-01 4.465332031250002220e-02 -1.874511718750000000e+00
4.468408203124999978e-01 8.209228515625000000e-01 4.833007812500000194e-02 1.532763671875000000e+01 9.368164062500000000e+00 -3.612548828125000666e-01 -4.053466796874999889e-01 -8.745117187500000000e-01
3.518408203124999689e-01 6.959228515625000000e-01 3.833007812500000000e-02 1.082763671875000000e+01 1.036816406250000000e+01 6.374511718749986677e-02 -6.303466796874999112e-01 -1.374511718750000000e+00
1.618408203124999944e-01 9.459228515625000000e-01 5.833007812500000389e-02 1.382763671875000000e+01 1.236816406250000000e+01 -7.862548828125000000e-01 -1.803466796874999556e-01 -3.745117187500000000e-01
1.499658203124999978e-01 7.115478515625000000e-01 6.458007812499999556e-02 1.364013671875000000e+01 1.174316406250000000e+01 -3.081298828124999778e-01 -3.209716796875000111e-01 -8.120117187500000000e-01
3.399658203125000000e-01 9.615478515625000000e-01 4.458007812500000555e-02 1.064013671875000000e+01 9.743164062500000000e+00 5.418701171875000000e-01 1.290283203125000000e-01 -1.812011718750000000e+00
4.349658203124999734e-01 5.865478515625000000e-01 3.458007812499999667e-02 1.514013671875000000e+01 1.074316406250000000e+01 -7.331298828125000222e-01 -9.597167968749997780e-02 -3.120117187500000000e-01
2.449658203124999989e-01 8.365478515625000000e-01 5.458007812500000056e-02 1.214013671875000000e+01 1.274316406250000000e+01 1.168701171874999556e-01 -5.459716796874999334e-01 -1.312011718750000000e+00
2.924658203125000133e-01 5.240478515625000000e-01 4.958007812500000305e-02 1.439013671875000000e+01 1.024316406250000000e+01 -9.562988281250006661e-02 -4.334716796875000000e-01 -1.562011718750000000e+00
4.824658203125000155e-01 7.740478515625000000e-01 6.958007812500000000e-02 1.139013671875000000e+01 1.224316406250000000e+01 -9.456298828125000444e-01 1.652832031249995559e-02 -5.620117187500000000e-01
3.874658203124999867e-01 6.490478515625000000e-01 5.958007812500000500e-02 1.589013671875000000e+01 1.124316406250000000e+01 3.293701171874998668e-01 -2.084716796875000222e-01 -1.062011718750000000e+00
1.974658203124999845e-01 8.990478515625000000e-01 3.958007812500000111e-02 1.289013671875000000e+01 9.243164062500000000e+00 -5.206298828125000000e-01 -6.584716796874999778e-01 -6.201171875000000000e-02
1.737158203124999911e-01 6.177978515625000000e-01 5.208007812499999833e-02 1.101513671875000000e+01 9.993164062500000000e+00 -4.143798828125000444e-01 -2.647216796874999889e-01 -1.187011718750000000e+00
3.637158203124999933e-01 8.677978515625000000e-01 3.208007812500000139e-02 1.401513671875000000e+01 1.199316406250000000e+01 4.356201171875000444e-01 1.852783203124999112e-01 -1.870117187500000000e-01
4.587158203125000222e-01 7.427978515625000000e-01 4.208007812500000333e-02 1.251513671875000000e+01 1.299316406250000000e+01 -8.393798828124999778e-01 -3.972167968750006661e-02 -1.687011718750000000e+00
2.687158203124999645e-01 9.927978515625000000e-01 6.208007812500000722e-02 1.551513671875000000e+01 1.099316406250000000e+01 1.062011718750000000e-02 -4.897216796874999667e-01 -6.870117187500000000e-01
2.212158203124999778e-01 6.802978515625000000e-01 3.708007812499999889e-02 1.026513671875000000e+01 1.249316406250000000e+01 2.231201171874999112e-01 -3.772216796874999778e-01 -4.370117187500000000e-01
4.112158203124999800e-01 9.302978515625000000e-01 5.708007812500000278e-02 1.326513671875000000e+01 1.049316406250000000e+01 -6.268798828124999556e-01 7.277832031249997780e-02 -1.437011718750000000e+00
3.162158203125000067e-01 5.552978515625000000e-01 6.708007812499999778e-02 1.176513671875000000e+01 9.493164062500000000e+00 6.481201171874999556e-01 -1.522216796875000000e-01 -9.370117187500000000e-01
1.262158203125000044e-01 8.052978515625000000e-01 4.708007812500000083e-02 1.476513671875000000e+01 1.149316406250000000e+01 -2.018798828125000222e-01 -6.022216796874999556e-01 -1.937011718750000000e+00
1.291845703124999967e-01 6.060791015625000000e-01 6.676757812500000444e-02 1.396826171875000000e+01 1.058691406250000000e+01 -5.073486328125000888e-01 -1.862792968750004441e-02 -1.265136718750000000e+00
3.191845703125000266e-01 8.560791015625000000e-01 4.676757812500000056e-02 1.096826171875000000e+01 1.258691406250000000e+01 3.426513671875000000e-01 -4.686279296875000000e-01 -2.651367187500000000e-01
4.141845703125000000e-01 7.310791015625000000e-01 3.676757812499999861e-02 1.546826171875000000e+01 1.158691406250000000e+01 -9.323486328125000222e-01 -6.936279296874999778e-01 -1.765136718750000000e+00
2.241845703124999978e-01 9.810791015625000000e-01 5.676757812500000250e-02 1.246826171875000000e+01 9.586914062500000000e+00 -8.234863281250004441e-02 -2.436279296875000222e-01 -7.651367187500000000e-01
2.716845703124999845e-01 6.685791015625000000e-01 4.176757812500000305e-02 1.321826171875000000e+01 1.108691406250000000e+01 1.301513671874998668e-01 9.387207031250000000e-02 -1.513671875000000000e-02
4.616845703124999867e-01 9.185791015625000000e-01 6.176757812500000694e-02 1.021826171875000000e+01 9.086914062500000000e+00 -7.198486328125000000e-01 -3.561279296875000111e-01 -1.015136718750000000e+00
3.666845703125000133e-01 5.435791015625000000e-01 5.176757812500000500e-02 1.471826171875000000e+01 1.008691406250000000e+01 5.551513671874999112e-01 -5.811279296874999334e-01 -5.151367187500000000e-01
1.766845703125000111e-01 7.935791015625000000e-01 3.176757812500000111e-02 1.171826171875000000e+01 1.208691406250000000e+01 -2.948486328125000666e-01 -1.311279296874999778e-01 -1.515136718750000000e+00
2.004345703125000044e-01 6.998291015625000000e-01 5.926757812500000472e-02 1.059326171875000000e+01 1.283691406250000000e+01 -1.885986328125000000e-01 3.762207031249997780e-02 -6.401367187500000000e-01
3.904345703125000067e-01 9.498291015625000000e-01 3.926757812500000083e-02 1.359326171875000000e+01 1.083691406250000000e+01 6.614013671874998668e-01 -4.123779296874999778e-01 -1.640136718750000000e+00
4.854345703124999800e-01 5.748291015625000000e-01 4.926757812500000278e-02 1.209326171875000000e+01 9.836914062500000000e+00 -6.135986328125000444e-01 -6.373779296874999556e-01 -1.401367187500000000e-01
2.954345703124999778e-01 8.248291015625000000e-01 6.926757812500000666e-02 1.509326171875000000e+01 1.183691406250000000e+01 2.364013671875000444e-01 -1.873779296875000000e-01 -1.140136718750000000e+00
2.479345703124999911e-01 5.123291015625000000e-01 3.426757812500000333e-02 1.134326171875000000e+01 9.336914062500000000e+00 2.390136718749991118e-02 1.501220703124999112e-01 -1.890136718750000000e+00
4.379345703124999933e-01 7.623291015625000000e-01 5.426757812500000722e-02 1.434326171875000000e+01 1.133691406250000000e+01 -8.260986328124999556e-01 -2.998779296874999889e-01 -8.901367187500000000e-01
3.429345703124999645e-01 6.373291015625000000e-01 6.426757812500000222e-02 1.284326171875000000e+01 1.233691406250000000e+01 4.489013671874999556e-01 -5.248779296874999112e-01 -1.390136718750000000e+00
1.529345703124999900e-01 8.873291015625000000e-01 4.426757812499999833e-02 1.584326171875000000e+01 1.033691406250000000e+01 -4.010986328125000222e-01 -7.487792968750006661e-02 -3.901367187500000000e-01
1.648095703124999867e-01 6.529541015625000000e-01 3.801757812499999972e-02 1.453076171875000000e+01 9.711914062500000000e+00 -8.792236328125000444e-01 -4.405029296874999889e-01 -9.526367187500000000e-01
3.548095703124999889e-01 9.029541015625000000e-01 5.801757812500000361e-02 1.153076171875000000e+01 1.171191406250000000e+01 -2.922363281250006661e-02 9.497070312500022204e-03 -1.952636718750000000e+00
4.498095703125000178e-01 5.279541015625000000e-01 6.801757812500000555e-02 1.303076171875000000e+01 1.271191406250000000e+01 -4.542236328125000000e-01 -2.155029296875000111e-01 -4.526367187500000000e-01
2.598095703124999600e-01 7.779541015625000000e-01 4.801757812500000167e-02 1.003076171875000000e+01 1.071191406250000000e+01 3.957763671874998668e-01 -6.655029296874999112e-01 -1.452636718750000000e+00
3.073095703125000022e-01 5.904541015625000000e-01 5.301757812500000611e-02 1.528076171875000000e+01 1.221191406250000000e+01 6.082763671875000000e-01 -3.280029296875000000e-01 -1.702636718750000000e+00
4.973095703125000044e-01 8.404541015625000000e-01 3.301757812500000222e-02 1.228076171875000000e+01 1.021191406250000000e+01 -2.417236328124999778e-01 1.219970703124999556e-01 -7.026367187500000000e-01
4.023095703124999756e-01 7.154541015625000000e-01 4.301757812499999722e-02 1.378076171875000000e+01 9.211914062500000000e+00 1.832763671874999556e-01 -1.030029296875000222e-01 -1.202636718750000000e+00
2.123095703125000011e-01 9.654541015625000000e-01 6.301757812500000111e-02 1.078076171875000000e+01 1.121191406250000000e+01 -6.667236328125000222e-01 -5.530029296874999778e-01 -2.026367187500000000e-01
1.885595703124999800e-01 5.592041015625000000e-01 4.551757812499999944e-02 1.265576171875000000e+01 1.196191406250000000e+01 -7.729736328124999778e-01 -3.842529296874999667e-01 -1.077636718750000000e+00
3.785595703124999822e-01 8.092041015625000000e-01 6.551757812500000333e-02 1.565576171875000000e+01 9.961914062500000000e+00 7.702636718750000000e-02 6.574707031249993339e-02 -7.763671875000000000e-02
4.735595703125000111e-01 6.842041015625000000e-01 5.551757812500000833e-02 1.115576171875000000e+01 1.096191406250000000e+01 -3.479736328125000444e-01 -1.592529296875000444e-01 -1.577636718750000000e+00
2.835595703125000089e-01 9.342041015625000000e-01 3.551757812499999750e-02 1.415576171875000000e+01 1.296191406250000000e+01 5.020263671875000444e-01 -6.092529296875000000e-01 -5.776367187500000000e-01
2.360595703124999944e-01 7.467041015625000000e-01 6.051757812500000583e-02 1.190576171875000000e+01 1.046191406250000000e+01 2.895263671874999112e-01 -2.717529296874999778e-01 -3.276367187500000000e-01
