# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s cosmological_parameters--w
4.406249999999999889e-01 7.046875000000000222e-01 5.837499999999999911e-01 3.624999999999999750e-02 9.762500000000000622e-01 -1.859375000000000000e+00
2.506249999999999867e-01 8.296875000000000222e-01 7.637500000000000400e-01 5.625000000000000833e-02 8.762499999999999734e-01 -1.109375000000000000e+00
2.981249999999999734e-01 6.734375000000000222e-01 7.187500000000000000e-01 4.125000000000000194e-02 1.001249999999999973e+00 -9.218750000000000000e-01
4.881249999999999756e-01 7.984375000000000222e-01 8.987500000000000488e-01 6.125000000000000583e-02 9.012499999999999956e-01 -1.671875000000000000e+00
3.931250000000000022e-01 7.359375000000000222e-01 8.087500000000000799e-01 3.125000000000000000e-02 9.512500000000000400e-01 -5.468750000000000000e-01
2.031250000000000000e-01 8.609375000000000222e-01 6.287500000000000311e-01 5.125000000000000389e-02 1.051250000000000018e+00 -1.296875000000000000e+00
1.793750000000000067e-01 6.890625000000000222e-01 7.412500000000000755e-01 6.375000000000000111e-02 1.038750000000000062e+00 -1.390625000000000000e+00
3.693750000000000089e-01 8.140625000000000222e-01 5.612500000000000266e-01 4.374999999999999722e-02 9.387499999999999734e-01 -6.406250000000000000e-01
4.643749999999999822e-01 7.515625000000000222e-01 6.512499999999999956e-01 5.375000000000000611e-02 8.887500000000000400e-01 -1.765625000000000000e+00
2.743750000000000355e-01 8.765625000000000222e-01 8.312500000000000444e-01 3.375000000000000222e-02 9.887500000000000178e-01 -1.015625000000000000e+00
2.268749999999999933e-01 7.203125000000000222e-01 6.062500000000000666e-01 6.875000000000000555e-02 9.137500000000000622e-01 -1.203125000000000000e+00
4.168749999999999956e-01 8.453125000000000222e-01 7.862500000000000044e-01 4.875000000000000167e-02 1.013749999999999929e+00 -1.953125000000000000e+00
3.218750000000000222e-01 6.578125000000000222e-01 8.762499999999999734e-01 5.875000000000000361e-02 1.063749999999999973e+00 -8.281250000000000000e-01
1.318749999999999922e-01 7.828125000000000222e-01 6.962500000000000355e-01 3.874999999999999972e-02 9.637499999999999956e-01 -1.578125000000000000e+00
1.378125000000000044e-01 7.164062500000000222e-01 7.693750000000000311e-01 5.312500000000000555e-02 1.010625000000000107e+00 -1.039062500000000000e+00
3.278125000000000067e-01 8.414062500000000222e-01 5.893750000000000933e-01 3.312500000000000167e-02 9.106250000000000178e-01 -1.789062500000000000e+00
4.228124999999999800e-01 6.539062500000000222e-01 6.793750000000000622e-01 6.312500000000001443e-02 9.606250000000000622e-01 -6.640625000000000000e-01
2.328124999999999778e-01 7.789062500000000222e-01 8.593750000000000000e-01 4.312500000000000361e-02 1.060625000000000151e+00 -1.414062500000000000e+00
2.803124999999999645e-01 6.851562500000000222e-01 6.343750000000000222e-01 5.812500000000000305e-02 9.356250000000000400e-01 -1.601562500000000000e+00
4.703125000000000222e-01 8.101562500000000222e-01 8.143750000000000711e-01 3.812499999999999917e-02 1.035625000000000018e+00 -8.515625000000000000e-01
3.753124999999999933e-01 7.476562500000000222e-01 9.043750000000000400e-01 6.812500000000000500e-02 9.856249999999999734e-01 -1.976562500000000000e+00
1.853124999999999911e-01 8.726562500000000222e-01 7.243749999999999911e-01 4.812500000000000111e-02 8.856249999999999956e-01 -1.226562500000000000e+00
2.090624999999999845e-01 6.695312500000000222e-01 8.368750000000000355e-01 3.562500000000000389e-02 8.981250000000000622e-01 -1.132812500000000000e+00
3.990624999999999867e-01 7.945312500000000222e-01 6.568750000000000977e-01 5.562500000000000777e-02 9.981250000000000400e-01 -1.882812500000000000e+00
4.940625000000000155e-01 7.320312500000000222e-01 5.668750000000000178e-01 4.562499999999999889e-02 1.048124999999999973e+00 -7.578125000000000000e-01
3.040625000000000133e-01 8.570312500000000222e-01 7.468750000000000666e-01 6.562500000000000278e-02 9.481249999999999956e-01 -1.507812500000000000e+00
2.565625000000000266e-01 7.632812500000000222e-01 7.018750000000000266e-01 3.062499999999999944e-02 1.023125000000000062e+00 -1.320312500000000000e+00
4.465624999999999734e-01 8.882812500000000222e-01 8.818749999999999645e-01 5.062500000000000333e-02 9.231249999999999734e-01 -5.703125000000000000e-01
3.515625000000000000e-01 7.007812500000000222e-01 7.918749999999999956e-01 4.062500000000000139e-02 8.731250000000000400e-01 -1.695312500000000000e+00
1.615624999999999978e-01 8.257812500000000222e-01 6.118750000000000577e-01 6.062500000000000527e-02 9.731250000000000178e-01 -9.453125000000000000e-01
1.496875000000000011e-01 7.085937500000000222e-01 6.456250000000000044e-01 6.937500000000000611e-02 1.066875000000000018e+00 -5.234375000000000000e-01
3.396875000000000311e-01 8.335937500000000222e-01 8.256250000000000533e-01 4.937500000000000222e-02 9.668750000000000400e-01 -1.273437500000000000e+00
4.346875000000000044e-01 7.710937500000000222e-01 7.356249999999999734e-01 5.937500000000000416e-02 9.168749999999999956e-01 -8.984375000000000000e-01
2.446875000000000022e-01 8.960937500000000222e-01 5.556250000000000355e-01 3.937500000000000028e-02 1.016874999999999973e+00 -1.648437500000000000e+00
2.921874999999999889e-01 7.398437500000000222e-01 8.706249999999999822e-01 6.437500000000001554e-02 8.918749999999999734e-01 -1.835937500000000000e+00
4.821874999999999911e-01 8.648437500000000222e-01 6.906250000000000444e-01 4.437499999999999778e-02 9.918750000000000622e-01 -1.085937500000000000e+00
3.871875000000000178e-01 6.773437500000000222e-01 6.006250000000000755e-01 5.437500000000000666e-02 1.041875000000000107e+00 -1.460937500000000000e+00
1.971875000000000155e-01 8.023437500000000222e-01 7.806250000000000133e-01 3.437500000000000278e-02 9.418750000000000178e-01 -7.109375000000000000e-01
1.734374999999999944e-01 7.554687500000000222e-01 5.781250000000000000e-01 4.187500000000000250e-02 9.543749999999999734e-01 -8.046875000000000000e-01
3.634374999999999689e-01 8.804687500000000222e-01 7.581250000000000488e-01 6.187500000000000638e-02 1.054375000000000062e+00 -1.554687500000000000e+00
4.584374999999999978e-01 6.929687500000000222e-01 8.481250000000000178e-01 3.187500000000000056e-02 1.004375000000000018e+00 -1.179687500000000000e+00
2.684374999999999956e-01 8.179687500000000222e-01 6.681250000000000799e-01 5.187500000000000444e-02 9.043750000000000400e-01 -1.929687500000000000e+00
2.209375000000000089e-01 6.617187500000000222e-01 8.031250000000000888e-01 4.687500000000000000e-02 9.793749999999999956e-01 -1.742187500000000000e+00
4.109375000000000111e-01 7.867187500000000222e-01 6.231250000000000400e-01 6.687500000000000389e-02 8.793750000000000178e-01 -9.921875000000000000e-01
3.159374999999999822e-01 7.242187500000000222e-01 7.131250000000000089e-01 3.687499999999999806e-02 9.293750000000000622e-01 -1.367187500000000000e+00
1.259375000000000078e-01 8.492187500000000222e-01 8.931250000000000577e-01 5.687500000000000888e-02 1.029374999999999929e+00 -6.171875000000000000e-01
1.289062500000000000e-01 7.496093750000000222e-01 7.103125000000000133e-01 6.218750000000000666e-02 9.121875000000000400e-01 -6.992187500000000000e-01
3.189062500000000022e-01 8.746093750000000222e-01 8.903125000000000622e-01 4.218750000000000278e-02 1.012187500000000018e+00 -1.449218750000000000e+00
4.139062499999999756e-01 6.871093750000000222e-01 8.003124999999999822e-01 5.218750000000000472e-02 1.062187500000000062e+00 -1.074218750000000000e+00
2.239062500000000011e-01 8.121093750000000222e-01 6.203125000000000444e-01 3.218750000000000083e-02 9.621874999999999734e-01 -1.824218750000000000e+00
2.714062499999999600e-01 6.558593750000000222e-01 8.453125000000000222e-01 6.718750000000001110e-02 1.037187499999999929e+00 -1.636718750000000000e+00
4.614062500000000178e-01 7.808593750000000222e-01 6.653125000000000844e-01 4.718750000000000722e-02 9.371875000000000622e-01 -8.867187500000000000e-01
3.664062499999999889e-01 7.183593750000000222e-01 5.753125000000000044e-01 5.718750000000000222e-02 8.871875000000000178e-01 -1.261718750000000000e+00
1.764062499999999867e-01 8.433593750000000222e-01 7.553125000000000533e-01 3.718749999999999833e-02 9.871874999999999956e-01 -5.117187500000000000e-01
2.001562499999999800e-01 7.027343750000000222e-01 5.978125000000000799e-01 4.968750000000000250e-02 9.996875000000000622e-01 -6.054687500000000000e-01
3.901562499999999822e-01 8.277343750000000222e-01 7.778125000000000178e-01 6.968750000000001332e-02 8.996874999999999734e-01 -1.355468750000000000e+00
4.851562500000000111e-01 7.652343750000000222e-01 8.678125000000000977e-01 3.968750000000000056e-02 9.496875000000000178e-01 -9.804687500000000000e-01
2.951562500000000089e-01 8.902343750000000222e-01 6.878125000000000488e-01 5.968750000000000444e-02 1.049687500000000107e+00 -1.730468750000000000e+00
2.476562499999999944e-01 7.339843750000000222e-01 7.328125000000000888e-01 4.468750000000000500e-02 9.246874999999999956e-01 -1.917968750000000000e+00
4.376562500000000244e-01 8.589843750000000222e-01 5.528125000000000400e-01 6.468750000000000888e-02 1.024687499999999973e+00 -1.167968750000000000e+00
3.426562499999999956e-01 6.714843750000000222e-01 6.428125000000000089e-01 3.468749999999999611e-02 9.746875000000000400e-01 -1.542968750000000000e+00
1.526562499999999933e-01 7.964843750000000222e-01 8.228125000000000577e-01 5.468750000000000000e-02 8.746874999999999512e-01 -7.929687500000000000e-01
1.645312499999999900e-01 6.792968750000000222e-01 7.890625000000000000e-01 5.593750000000000111e-02 9.684375000000000622e-01 -1.214843750000000000e+00
3.545312499999999645e-01 8.042968750000000222e-01 6.090625000000000622e-01 3.593749999999999722e-02 1.068437500000000151e+00 -1.964843750000000000e+00
4.495312499999999933e-01 7.417968750000000222e-01 6.990625000000000311e-01 6.593750000000000999e-02 1.018437500000000107e+00 -8.398437500000000000e-01
2.595312499999999911e-01 8.667968750000000222e-01 8.790625000000000799e-01 4.593750000000000611e-02 9.184375000000000178e-01 -1.589843750000000000e+00
3.070312499999999778e-01 7.730468750000000222e-01 5.640625000000000222e-01 5.093750000000000361e-02 9.934375000000000844e-01 -1.402343750000000000e+00
4.970312499999999800e-01 8.980468750000000222e-01 7.440625000000000711e-01 3.093749999999999972e-02 8.934374999999999956e-01 -6.523437500000000000e-01
4.020312500000000067e-01 7.105468750000000222e-01 8.340625000000000400e-01 6.093750000000000555e-02 9.434375000000000400e-01 -1.777343750000000000e+00
2.120312500000000044e-01 8.355468750000000222e-01 6.540624999999999911e-01 4.093750000000000167e-02 1.043437500000000018e+00 -1.027343750000000000e+00
1.882812500000000111e-01 7.261718750000000222e-01 9.015625000000000444e-01 3.343750000000000194e-02 1.055937499999999973e+00 -9.335937500000000000e-01
3.782812500000000133e-01 8.511718750000000222e-01 7.215625000000001066e-01 5.343749999999999889e-02 9.559374999999999956e-01 -1.683593750000000000e+00
4.732812499999999867e-01 6.636718750000000222e-01 6.315625000000000266e-01 4.343750000000000389e-02 9.059375000000000622e-01 -5.585937500000000000e-01
2.832812499999999845e-01 7.886718750000000222e-01 8.115624999999999645e-01 6.343750000000000777e-02 1.005937499999999929e+00 -1.308593750000000000e+00
2.357812499999999978e-01 6.949218750000000222e-01 6.765625000000000666e-01 3.843749999999999944e-02 8.809375000000000400e-01 -1.496093750000000000e+00
4.257812500000000000e-01 8.199218750000000222e-01 8.565625000000001155e-01 5.843750000000000333e-02 9.809375000000000178e-01 -7.460937500000000000e-01
3.307812500000000266e-01 7.574218750000000222e-01 7.665625000000000355e-01 4.843750000000000139e-02 1.030937500000000062e+00 -1.871093750000000000e+00
1.407812499999999967e-01 8.824218750000000222e-01 5.865625000000000977e-01 6.843750000000001221e-02 9.309374999999999734e-01 -1.121093750000000000e+00
1.348437499999999845e-01 6.832031250000000222e-01 8.846875000000000711e-01 4.406250000000000444e-02 9.715624999999999956e-01 -1.285156250000000000e+00
3.248437499999999867e-01 8.082031250000000222e-01 7.046875000000000222e-01 6.406250000000000833e-02 8.715625000000000178e-01 -5.351562500000000000e-01
4.198437500000000155e-01 7.457031250000000222e-01 6.146875000000000533e-01 3.406250000000000250e-02 9.215625000000000622e-01 -1.660156250000000000e+00
2.298437500000000133e-01 8.707031250000000222e-01 7.946874999999999911e-01 5.406249999999999944e-02 1.021562499999999929e+00 -9.101562500000000000e-01
2.773437500000000000e-01 7.144531250000000222e-01 6.596874999999999822e-01 4.906250000000000194e-02 9.465624999999999734e-01 -1.097656250000000000e+00
4.673437500000000022e-01 8.394531250000000222e-01 8.396875000000000311e-01 6.906249999999999889e-02 1.046562500000000062e+00 -1.847656250000000000e+00
3.723437499999999734e-01 6.519531250000000222e-01 7.496875000000000622e-01 3.906250000000000000e-02 9.965625000000000178e-01 -7.226562500000000000e-01
1.823437499999999989e-01 7.769531250000000222e-01 5.696875000000000133e-01 5.906250000000000389e-02 8.965625000000000400e-01 -1.472656250000000000e+00
2.060937499999999922e-01 7.613281250000000222e-01 8.171874999999999556e-01 6.656249999999999667e-02 8.840624999999999734e-01 -1.566406250000000000e+00
3.960937500000000222e-01 8.863281250000000222e-01 6.371875000000000178e-01 4.656250000000000666e-02 9.840625000000000622e-01 -8.164062500000000000e-01
4.910937499999999956e-01 6.988281250000000222e-01 7.271875000000000977e-01 5.656250000000000167e-02 1.034062500000000107e+00 -1.941406250000000000e+00
3.010937499999999933e-01 8.238281250000000222e-01 9.071875000000000355e-01 3.656249999999999778e-02 9.340625000000000178e-01 -1.191406250000000000e+00
2.535937500000000067e-01 6.675781250000000222e-01 5.921875000000000888e-01 6.156250000000000611e-02 1.059062500000000018e+00 -1.003906250000000000e+00
4.435937500000000089e-01 7.925781250000000222e-01 7.721875000000000266e-01 4.156250000000000222e-02 9.590625000000000400e-01 -1.753906250000000000e+00
3.485937500000000355e-01 7.300781250000000222e-01 8.621875000000001066e-01 5.156250000000000416e-02 9.090624999999999956e-01 -6.289062500000000000e-01
1.585937500000000056e-01 8.550781250000000222e-01 6.821875000000000577e-01 3.156250000000000028e-02 1.009062499999999973e+00 -1.378906250000000000e+00
1.467187500000000089e-01 7.378906250000000222e-01 6.259375000000000355e-01 3.781249999999999889e-02 1.027812500000000018e+00 -1.800781250000000000e+00
3.367187500000000111e-01 8.628906250000000222e-01 8.059374999999999734e-01 5.781250000000000278e-02 9.278125000000000400e-01 -1.050781250000000000e+00
4.317187499999999845e-01 6.753906250000000222e-01 8.959375000000000533e-01 4.781250000000000083e-02 8.778124999999999956e-01 -1.425781250000000000e+00
2.417187499999999822e-01 8.003906250000000222e-01 7.159375000000000044e-01 6.781249999999999778e-02 9.778124999999999734e-01 -6.757812500000000000e-01
2.892187499999999689e-01 7.066406250000000222e-01 7.609375000000000444e-01 3.281250000000000139e-02 9.028125000000000178e-01 -8.632812500000000000e-01
4.792187500000000266e-01 8.316406250000000222e-01 5.809374999999999956e-01 5.281249999999999833e-02 1.002812500000000107e+00 -1.613281250000000000e+00
3.842187499999999978e-01 7.691406250000000222e-01 6.709375000000000755e-01 4.281250000000000333e-02 1.052812500000000151e+00 -1.238281250000000000e+00
1.942187499999999956e-01 8.941406250000000222e-01 8.509375000000000133e-01 6.281250000000000722e-02 9.528125000000000622e-01 -1.988281250000000000e+00
1.704687500000000022e-01 6.597656250000000222e-01 6.934375000000000400e-01 5.031250000000000305e-02 9.403124999999999956e-01 -1.894531250000000000e+00
3.604687500000000044e-01 7.847656250000000222e-01 8.734375000000000888e-01 3.031249999999999917e-02 1.040312499999999973e+00 -1.144531250000000000e+00
4.554687499999999778e-01 7.222656250000000222e-01 7.834375000000000089e-01 6.031250000000000500e-02 9.903125000000000400e-01 -1.519531250000000000e+00
2.654687500000000311e-01 8.472656250000000222e-01 6.034375000000000711e-01 4.031250000000000111e-02 8.903124999999999512e-01 -7.695312500000000000e-01
2.179687499999999889e-01 7.535156250000000222e-01 8.284375000000000488e-01 5.531250000000000056e-02 1.015312500000000062e+00 -5.820312500000000000e-01
4.079687499999999911e-01 8.785156250000000222e-01 6.484375000000000000e-01 3.531249999999999667e-02 9.153124999999999734e-01 -1.332031250000000000e+00
3.129687500000000178e-01 6.910156250000000222e-01 5.584375000000000311e-01 6.531249999999999556e-02 9.653125000000000178e-01 -9.570312500000000000e-01
1.229687500000000017e-01 8.160156250000000222e-01 7.384375000000000799e-01 4.531250000000000555e-02 1.065312500000000107e+00 -1.707031250000000000e+00
1.244531249999999978e-01 7.330078125000000222e-01 8.326562500000000977e-01 6.765625000000000111e-02 9.629687500000000400e-01 -1.373046875000000000e+00
3.144531250000000000e-01 8.580078125000000222e-01 6.526562500000000488e-01 4.765624999999999722e-02 1.062968750000000018e+00 -6.230468750000000000e-01
4.094531249999999734e-01 6.705078125000000222e-01 5.626562500000000799e-01 5.765625000000000611e-02 1.012968749999999973e+00 -1.748046875000000000e+00
2.194531249999999989e-01 7.955078125000000222e-01 7.426562500000000178e-01 3.765625000000000222e-02 9.129687499999999956e-01 -9.980468750000000000e-01
2.669531250000000133e-01 7.017578125000000222e-01 6.976562500000000888e-01 6.265624999999999667e-02 9.879687500000000622e-01 -1.185546875000000000e+00
4.569531250000000155e-01 8.267578125000000222e-01 8.776562500000000266e-01 4.265624999999999972e-02 8.879687499999999734e-01 -1.935546875000000000e+00
3.619531249999999867e-01 7.642578125000000222e-01 7.876562500000000577e-01 5.265625000000000167e-02 9.379687500000000178e-01 -8.105468750000000000e-01
1.719531249999999845e-01 8.892578125000000222e-01 6.076562500000000089e-01 3.265624999999999778e-02 1.037968750000000107e+00 -1.560546875000000000e+00
1.957031249999999778e-01 6.548828125000000222e-01 7.651562499999999822e-01 4.015625000000000444e-02 1.050468750000000062e+00 -1.466796875000000000e+00
3.857031249999999800e-01 7.798828125000000222e-01 5.851562500000000444e-01 6.015625000000000833e-02 9.504687499999999734e-01 -7.167968750000000000e-01
4.807031250000000089e-01 7.173828125000000222e-01 6.751562500000000133e-01 3.015624999999999903e-02 9.004687500000000400e-01 -1.841796875000000000e+00
2.907031250000000067e-01 8.423828125000000222e-01 8.551562500000000622e-01 5.015624999999999944e-02 1.000468750000000018e+00 -1.091796875000000000e+00
2.432031249999999922e-01 7.486328125000000222e-01 6.301562500000000844e-01 4.515625000000000194e-02 8.754687500000000178e-01 -9.042968750000000000e-01
4.332031250000000222e-01 8.736328125000000222e-01 8.101562500000000222e-01 6.515624999999999889e-02 9.754687499999999956e-01 -1.654296875000000000e+00
3.382031249999999933e-01 6.861328125000000222e-01 9.001562499999999911e-01 3.515625000000000000e-02 1.025468749999999929e+00 -5.292968750000000000e-01
1.482031249999999911e-01 8.111328125000000222e-01 7.201562500000000533e-01 5.515625000000000389e-02 9.254687500000000622e-01 -1.279296875000000000e+00
1.600781249999999878e-01 6.939453125000000222e-01 5.739062500000000622e-01 5.390625000000000278e-02 9.192187499999999734e-01 -1.701171875000000000e+00
3.500781250000000178e-01 8.189453125000000222e-01 7.539062500000000000e-01 3.390624999999999889e-02 1.019218750000000062e+00 -9.511718750000000000e-01
4.450781249999999911e-01 7.564453125000000222e-01 8.439062500000000799e-01 6.390624999999999778e-02 1.069218750000000107e+00 -1.326171875000000000e+00
2.550781249999999889e-01 8.814453125000000222e-01 6.639062500000000311e-01 4.390625000000000083e-02 9.692187500000000178e-01 -5.761718750000000000e-01
3.025781250000000311e-01 7.251953125000000222e-01 7.989062500000000400e-01 5.890625000000000722e-02 1.044218749999999973e+00 -7.636718750000000000e-01
4.925781249999999778e-01 8.501953125000000222e-01 6.189062499999999911e-01 3.890625000000000333e-02 9.442187499999999956e-01 -1.513671875000000000e+00
3.975781250000000044e-01 6.626953125000000222e-01 7.089062500000000711e-01 6.890625000000000222e-02 8.942187499999999512e-01 -1.138671875000000000e+00
2.075781250000000022e-01 7.876953125000000222e-01 8.889062500000000089e-01 4.890624999999999833e-02 9.942187500000000400e-01 -1.888671875000000000e+00
1.838281250000000089e-01 7.720703125000000222e-01 6.414062500000000666e-01 3.640625000000000111e-02 1.006718750000000107e+00 -1.982421875000000000e+00
3.738281250000000111e-01 8.970703125000000222e-01 8.214062500000001155e-01 5.640625000000000500e-02 9.067187500000000178e-01 -1.232421875000000000e+00
4.688281249999999845e-01 7.095703125000000222e-01 7.314062500000000355e-01 4.640625000000000305e-02 9.567187500000000622e-01 -1.607421875000000000e+00
2.788281249999999822e-01 8.345703125000000222e-01 5.514062500000000977e-01 6.640625000000000000e-02 1.056718750000000151e+00 -8.574218750000000000e-01
2.313281249999999956e-01 6.783203125000000222e-01 8.664062500000000444e-01 3.140624999999999667e-02 9.317187500000000400e-01 -6.699218750000000000e-01
4.213281249999999978e-01 8.033203125000000222e-01 6.864062500000001066e-01 5.140625000000000056e-02 1.031718750000000018e+00 -1.419921875000000000e+00
3.263281249999999689e-01 7.408203125000000222e-01 5.964062500000000266e-01 4.140624999999999861e-02 9.817187499999999734e-01 -1.044921875000000000e+00
1.363281249999999944e-01 8.658203125000000222e-01 7.764062500000000755e-01 6.140625000000000250e-02 8.817187499999999956e-01 -1.794921875000000000e+00
1.422656250000000067e-01 6.666015625000000222e-01 6.695312500000000222e-01 4.578125000000000250e-02 1.022343750000000107e+00 -7.871093750000000000e-01
3.322656250000000089e-01 7.916015625000000222e-01 8.495312500000000711e-01 6.578125000000001332e-02 9.223437500000000178e-01 -1.537109375000000000e+00
4.272656249999999822e-01 7.291015625000000222e-01 7.595312499999999911e-01 3.578125000000000056e-02 8.723437499999999734e-01 -1.162109375000000000e+00
2.372656249999999800e-01 8.541015625000000222e-01 5.795312500000000533e-01 5.578125000000000444e-02 9.723437500000000622e-01 -1.912109375000000000e+00
2.847656250000000222e-01 7.603515625000000222e-01 8.945312500000000000e-01 4.078125000000000500e-02 8.973437499999999956e-01 -1.724609375000000000e+00
4.747656250000000244e-01 8.853515625000000222e-01 7.145312500000000622e-01 6.078125000000000888e-02 9.973437499999999734e-01 -9.746093750000000000e-01
3.797656249999999956e-01 6.978515625000000222e-01 6.245312499999999822e-01 3.078124999999999958e-02 1.047343750000000018e+00 -1.349609375000000000e+00
1.897656249999999933e-01 8.228515625000000222e-01 8.045312500000000311e-01 5.078125000000000000e-02 9.473437500000000400e-01 -5.996093750000000000e-01
2.135156249999999867e-01 7.134765625000000222e-01 5.570312500000000888e-01 6.328125000000001110e-02 9.348437499999999734e-01 -5.058593750000000000e-01
4.035156249999999889e-01 8.384765625000000222e-01 7.370312500000000266e-01 4.328125000000000028e-02 1.034843750000000062e+00 -1.255859375000000000e+00
4.985156250000000178e-01 6.509765625000000222e-01 8.270312500000001066e-01 5.328125000000000222e-02 9.848437500000000178e-01 -8.808593750000000000e-01
3.085156249999999600e-01 7.759765625000000222e-01 6.470312500000000577e-01 3.328124999999999833e-02 8.848437500000000400e-01 -1.630859375000000000e+00
2.610156249999999734e-01 6.822265625000000222e-01 7.820312500000000666e-01 6.828125000000001554e-02 1.009843749999999929e+00 -1.818359375000000000e+00
4.510156249999999756e-01 8.072265625000000222e-01 6.020312500000000178e-01 4.828124999999999778e-02 9.098437500000000622e-01 -1.068359375000000000e+00
3.560156250000000022e-01 7.447265625000000222e-01 6.920312500000000977e-01 5.828125000000000666e-02 9.598437499999999956e-01 -1.443359375000000000e+00
1.660156250000000000e-01 8.697265625000000222e-01 8.720312500000000355e-01 3.828125000000000278e-02 1.059843749999999973e+00 -6.933593750000000000e-01
1.541406250000000033e-01 7.525390625000000222e-01 7.482812500000000089e-01 3.203124999999999722e-02 9.785937500000000400e-01 -1.115234375000000000e+00
3.441406249999999778e-01 8.775390625000000222e-01 5.682812500000000711e-01 5.203125000000000111e-02 8.785937499999999512e-01 -1.865234375000000000e+00
4.391406250000000067e-01 6.900390625000000222e-01 6.582812500000000400e-01 4.203124999999999917e-02 9.285937499999999956e-01 -7.402343750000000000e-01
2.491406250000000044e-01 8.150390625000000222e-01 8.382812500000000888e-01 6.203125000000000305e-02 1.028593749999999973e+00 -1.490234375000000000e+00
2.966406249999999911e-01 6.587890625000000222e-01 6.132812500000000000e-01 3.703125000000000167e-02 9.535937500000000178e-01 -1.302734375000000000e+00
4.866406249999999933e-01 7.837890625000000222e-01 7.932812500000000488e-01 5.703125000000000555e-02 1.053593750000000107e+00 -5.527343750000000000e-01
3.916406250000000200e-01 7.212890625000000222e-01 8.832812500000000178e-01 4.703125000000000361e-02 1.003593750000000062e+00 -1.677734375000000000e+00
2.016406249999999900e-01 8.462890625000000222e-01 7.032812500000000799e-01 6.703125000000001443e-02 9.035937499999999734e-01 -9.277343750000000000e-01
1.778906249999999967e-01 7.056640625000000222e-01 8.607812500000000533e-01 5.953125000000000777e-02 8.910937500000000178e-01 -1.021484375000000000e+00
3.678906250000000266e-01 8.306640625000000222e-01 6.807812500000000044e-01 3.953125000000000389e-02 9.910937499999999956e-01 -1.771484375000000000e+00
4.628906250000000000e-01 7.681640625000000222e-01 5.907812500000000355e-01 6.953125000000001665e-02 1.041093749999999929e+00 -6.464843750000000000e-01
2.728906249999999978e-01 8.931640625000000222e-01 7.707812499999999734e-01 4.953124999999999889e-02 9.410937500000000622e-01 -1.396484375000000000e+00
2.253906250000000111e-01 7.369140625000000222e-01 7.257812500000000444e-01 5.453125000000000333e-02 1.066093750000000062e+00 -1.583984375000000000e+00
4.153906250000000133e-01 8.619140625000000222e-01 9.057812499999999822e-01 3.453124999999999944e-02 9.660937499999999734e-01 -8.339843750000000000e-01
