# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s
4.818164062499999956e-01 6.551269531250000222e-01 5.580859375000000178e-01 3.621093749999999833e-02 1.021757812499999973e+00
2.918164062499999933e-01 7.801269531250000222e-01 7.380859375000000666e-01 5.621093750000000222e-02 9.217578124999999956e-01
2.443164062500000067e-01 6.863769531250000222e-01 6.930859375000000266e-01 4.121093750000000278e-02 1.046757812500000107e+00
4.343164062500000089e-01 8.113769531250000222e-01 8.730859374999999645e-01 6.121093750000000666e-02 9.467578125000000178e-01
3.393164062500000355e-01 7.488769531250000222e-01 7.830859374999999956e-01 3.121093750000000083e-02 8.967578124999999734e-01
1.493164062500000056e-01 8.738769531250000222e-01 6.030859375000000577e-01 5.121093750000000472e-02 9.967578125000000622e-01
1.611914062500000022e-01 7.566894531250000222e-01 6.593359375000000799e-01 5.996093750000000555e-02 1.040507812500000018e+00
3.511914062500000044e-01 8.816894531250000222e-01 8.393359375000000178e-01 3.996093750000000167e-02 9.405078125000000400e-01
4.461914062499999778e-01 6.941894531250000222e-01 7.493359375000000488e-01 6.996093750000001443e-02 8.905078124999999956e-01
2.561914062500000311e-01 8.191894531250000222e-01 5.693359375000000000e-01 4.996093750000000361e-02 9.905078124999999734e-01
3.036914062500000178e-01 6.629394531250000222e-01 8.843359375000000577e-01 5.496093750000000111e-02 9.155078125000000178e-01
4.936914062500000200e-01 7.879394531250000222e-01 7.043359375000000089e-01 3.496093749999999722e-02 1.015507812500000107e+00
3.986914062499999911e-01 7.254394531250000222e-01 6.143359375000000400e-01 6.496093750000000999e-02 1.065507812500000151e+00
2.086914062499999889e-01 8.504394531250000222e-01 7.943359375000000888e-01 4.496093750000000611e-02 9.655078125000000622e-01
1.849414062499999956e-01 7.098144531250000222e-01 5.918359375000000755e-01 3.246093750000000194e-02 9.280078124999999734e-01
3.749414062499999978e-01 8.348144531250000222e-01 7.718359375000000133e-01 5.246093749999999889e-02 1.028007812500000062e+00
4.699414062500000266e-01 7.723144531250000222e-01 8.618359374999999822e-01 4.246093750000000389e-02 9.780078125000000178e-01
2.799414062499999689e-01 8.973144531250000222e-01 6.818359375000000444e-01 6.246093750000000777e-02 8.780078125000000400e-01
2.324414062499999822e-01 7.410644531250000222e-01 8.168359375000000533e-01 3.746093749999999944e-02 1.003007812499999929e+00
4.224414062499999845e-01 8.660644531250000222e-01 6.368359375000000044e-01 5.746093750000000333e-02 9.030078125000000622e-01
3.274414062500000111e-01 6.785644531250000222e-01 7.268359374999999734e-01 4.746093750000000139e-02 9.530078124999999956e-01
1.374414062500000089e-01 8.035644531250000222e-01 9.068359375000000222e-01 6.746093750000001221e-02 1.053007812499999973e+00
1.433789062499999933e-01 7.293457031250000222e-01 5.637109375000000089e-01 4.058593750000000222e-02 8.998828125000000178e-01
3.333789062499999956e-01 8.543457031250000222e-01 7.437109375000000577e-01 6.058593750000000611e-02 9.998828125000001066e-01
4.283789062500000244e-01 6.668457031250000222e-01 8.337109375000000266e-01 3.058593750000000028e-02 1.049882812500000151e+00
2.383789062499999944e-01 7.918457031250000222e-01 6.537109375000000888e-01 5.058593750000000416e-02 9.498828125000000622e-01
2.858789062500000089e-01 6.980957031250000222e-01 7.887109375000000977e-01 4.558593749999999972e-02 1.024882812500000018e+00
4.758789062500000111e-01 8.230957031250000222e-01 6.087109375000000488e-01 6.558593749999999667e-02 9.248828125000000400e-01
3.808789062499999822e-01 7.605957031250000222e-01 6.987109375000000178e-01 3.558593749999999778e-02 8.748828124999999956e-01
1.908789062499999800e-01 8.855957031250000222e-01 8.787109374999999556e-01 5.558593750000000167e-02 9.748828124999999734e-01
2.146289062500000011e-01 6.512207031250000222e-01 6.762109375000000533e-01 6.808593749999999889e-02 1.012382812500000062e+00
4.046289062499999756e-01 7.762207031250000222e-01 8.562109374999999911e-01 4.808593750000000194e-02 9.123828124999999734e-01
4.996289062500000044e-01 7.137207031250000222e-01 7.662109375000000222e-01 5.808593750000000389e-02 9.623828125000000178e-01
3.096289062500000022e-01 8.387207031250000222e-01 5.862109375000000844e-01 3.808593750000000000e-02 1.062382812500000107e+00
2.621289062499999600e-01 7.449707031250000222e-01 9.012109375000000311e-01 6.308593750000000833e-02 9.373828124999999956e-01
4.521289062500000178e-01 8.699707031250000222e-01 7.212109374999999822e-01 4.308593750000000444e-02 1.037382812499999973e+00
3.571289062499999889e-01 6.824707031250000222e-01 6.312109375000000133e-01 5.308593749999999944e-02 9.873828125000000400e-01
1.671289062499999867e-01 8.074707031250000222e-01 8.112109375000000622e-01 3.308593750000000250e-02 8.873828124999999512e-01
1.552539062499999900e-01 6.902832031250000222e-01 8.449609375000000089e-01 3.683593749999999889e-02 9.561328125000000400e-01
3.452539062499999645e-01 8.152832031250000222e-01 6.649609375000000711e-01 5.683593750000000278e-02 1.056132812500000018e+00
4.402539062499999933e-01 7.527832031250000222e-01 5.749609374999999911e-01 4.683593750000000083e-02 1.006132812499999973e+00
2.502539062499999911e-01 8.777832031250000222e-01 7.549609375000000400e-01 6.683593749999999778e-02 9.061328124999999956e-01
2.977539062499999778e-01 7.215332031250000222e-01 7.099609375000000000e-01 3.183593750000000139e-02 9.811328125000000622e-01
4.877539062499999800e-01 8.465332031250000222e-01 8.899609375000000488e-01 5.183593749999999833e-02 8.811328124999999734e-01
3.927539062500000067e-01 6.590332031250000222e-01 7.999609375000000799e-01 4.183593750000000333e-02 9.311328125000000178e-01
2.027539062500000044e-01 7.840332031250000222e-01 6.199609375000000311e-01 6.183593750000000722e-02 1.031132812500000107e+00
1.790039062500000111e-01 7.684082031250000222e-01 7.324609375000000755e-01 5.433593750000000056e-02 1.068632812499999973e+00
3.690039062500000133e-01 8.934082031250000222e-01 5.524609375000000266e-01 3.433593749999999667e-02 9.686328124999999956e-01
4.640039062499999867e-01 7.059082031250000222e-01 6.424609374999999956e-01 6.433593749999999556e-02 9.186328125000000622e-01
2.740039062499999845e-01 8.309082031250000222e-01 8.224609375000000444e-01 4.433593750000000555e-02 1.018632812499999929e+00
2.265039062499999978e-01 6.746582031250000222e-01 5.974609375000000666e-01 5.933593750000000500e-02 8.936328125000000400e-01
4.165039062500000000e-01 7.996582031250000222e-01 7.774609375000000044e-01 3.933593750000000111e-02 9.936328125000000178e-01
3.215039062500000266e-01 7.371582031250000222e-01 8.674609374999999734e-01 6.933593750000000000e-02 1.043632812500000062e+00
1.315039062499999967e-01 8.621582031250000222e-01 6.874609375000000355e-01 4.933593750000000305e-02 9.436328124999999734e-01
1.285351562500000044e-01 7.625488281250000222e-01 8.758984375000000711e-01 3.402343750000000333e-02 9.983203124999999734e-01
3.185351562500000067e-01 8.875488281250000222e-01 6.958984375000000222e-01 5.402343750000000722e-02 8.983203124999999956e-01
4.135351562499999800e-01 7.000488281250000222e-01 6.058984375000000533e-01 4.402343749999999833e-02 9.483203125000000400e-01
2.235351562499999778e-01 8.250488281250000222e-01 7.858984374999999911e-01 6.402343750000000222e-02 1.048320312500000018e+00
2.710351562499999645e-01 6.687988281250000222e-01 6.508984374999999822e-01 3.902343750000000083e-02 9.233203125000000178e-01
4.610351562500000222e-01 7.937988281250000222e-01 8.308984375000000311e-01 5.902343750000000472e-02 1.023320312500000107e+00
3.660351562499999933e-01 7.312988281250000222e-01 7.408984375000000622e-01 4.902343750000000278e-02 9.733203125000000622e-01
1.760351562499999911e-01 8.562988281250000222e-01 5.608984375000000133e-01 6.902343750000000666e-02 8.733203124999999734e-01
1.997851562499999845e-01 6.844238281250000222e-01 8.083984374999999556e-01 5.652343750000000250e-02 9.108203125000000622e-01
3.897851562499999867e-01 8.094238281250000222e-01 6.283984375000000178e-01 3.652343749999999861e-02 1.010820312499999929e+00
4.847851562500000155e-01 7.469238281250000222e-01 7.183984375000000977e-01 6.652343750000000444e-02 1.060820312499999973e+00
2.947851562500000133e-01 8.719238281250000222e-01 8.983984375000000355e-01 4.652343750000000056e-02 9.608203124999999956e-01
2.472851562499999989e-01 7.156738281250000222e-01 5.833984375000000888e-01 5.152343750000000500e-02 1.035820312500000062e+00
4.372851562499999734e-01 8.406738281250000222e-01 7.633984375000000266e-01 3.152343750000000111e-02 9.358203124999999734e-01
3.422851562500000000e-01 6.531738281250000222e-01 8.533984375000001066e-01 6.152343750000000694e-02 8.858203125000000400e-01
1.522851562499999978e-01 7.781738281250000222e-01 6.733984375000000577e-01 4.152343750000000305e-02 9.858203125000000178e-01
1.641601562499999944e-01 6.609863281250000222e-01 6.396484375000000000e-01 4.777343750000000167e-02 1.054570312500000107e+00
3.541601562499999689e-01 7.859863281250000222e-01 8.196484375000000488e-01 6.777343750000000555e-02 9.545703125000000178e-01
4.491601562499999978e-01 7.234863281250000222e-01 9.096484375000000178e-01 3.777343749999999972e-02 9.045703124999999734e-01
2.591601562499999956e-01 8.484863281250000222e-01 7.296484375000000799e-01 5.777343750000000361e-02 1.004570312500000062e+00
3.066601562499999822e-01 7.547363281250000222e-01 7.746484375000000089e-01 4.277343749999999722e-02 8.795703124999999512e-01
4.966601562499999845e-01 8.797363281250000222e-01 5.946484375000000711e-01 6.277343750000000111e-02 9.795703125000000400e-01
4.016601562500000111e-01 6.922363281250000222e-01 6.846484375000000400e-01 3.277343750000000222e-02 1.029570312499999973e+00
2.116601562500000089e-01 8.172363281250000222e-01 8.646484375000000888e-01 5.277343750000000611e-02 9.295703124999999956e-01
1.879101562500000155e-01 7.391113281250000222e-01 7.071484375000000044e-01 6.027343750000000583e-02 9.670703124999999734e-01
3.779101562500000178e-01 8.641113281250000222e-01 8.871484375000000533e-01 4.027343750000000194e-02 1.067070312500000062e+00
4.729101562499999911e-01 6.766113281250000222e-01 7.971484374999999734e-01 5.027343750000000389e-02 1.017070312500000018e+00
2.829101562499999889e-01 8.016113281250000222e-01 6.171484375000000355e-01 3.027343750000000000e-02 9.170703125000000400e-01
