# cosmological_parameters--omega_m cosmological_parameters--s_8 cosmological_parameters--h0 cosmological_parameters--omega_b cosmological_parameters--n_s intrinsic_alignment_parameters--a1 intrinsic_alignment_parameters--alpha1 intrinsic_alignment_parameters--a2 intrinsic_alignment_parameters--alpha2 intrinsic_alignment_parameters--bias_ta
3.990624999999999867e-01 7.890625000000000000e-01 6.568750000000000977e-01 5.562500000000000777e-02 9.981250000000000400e-01 -4.218750000000000000e+00 3.281250000000000000e+00 3.593750000000000000e+00 -3.593750000000000000e+00 1.218750000000000000e+00
4.940625000000000155e-01 6.640625000000000000e-01 5.668750000000000178e-01 4.562499999999999889e-02 1.048124999999999973e+00 3.281250000000000000e+00 7.812500000000000000e-01 -3.906250000000000000e+00 3.906250000000000000e+00 1.718750000000000000e+00
3.040625000000000133e-01 9.140625000000000000e-01 7.468750000000000666e-01 6.562500000000000278e-02 9.481249999999999956e-01 -1.718750000000000000e+00 -4.218750000000000000e+00 1.093750000000000000e+00 -1.093750000000000000e+00 7.187500000000000000e-01
2.565625000000000266e-01 7.265625000000000000e-01 7.018750000000000266e-01 3.062499999999999944e-02 1.023125000000000062e+00 -4.687500000000000000e-01 -4.687500000000000000e-01 4.843750000000000000e+00 1.562500000000000000e-01 1.968750000000000000e+00
4.465624999999999734e-01 9.765625000000000000e-01 8.818749999999999645e-01 5.062500000000000333e-02 9.231249999999999734e-01 4.531250000000000000e+00 4.531250000000000000e+00 -1.562500000000000000e-01 -4.843750000000000000e+00 9.687500000000000000e-01
3.515625000000000000e-01 6.015625000000000000e-01 7.918749999999999956e-01 4.062500000000000139e-02 8.731250000000000400e-01 -2.968750000000000000e+00 2.031250000000000000e+00 2.343750000000000000e+00 2.656250000000000000e+00 4.687500000000000000e-01
1.615624999999999978e-01 8.515625000000000000e-01 6.118750000000000577e-01 6.062500000000000527e-02 9.731250000000000178e-01 2.031250000000000000e+00 -2.968750000000000000e+00 -2.656250000000000000e+00 -2.343750000000000000e+00 1.468750000000000000e+00
1.496875000000000011e-01 6.171875000000000000e-01 6.456250000000000044e-01 6.937500000000000611e-02 1.066875000000000018e+00 4.843750000000000000e+00 2.968750000000000000e+00 -4.687500000000000000e-01 -1.406250000000000000e+00 7.812500000000000000e-01
3.396875000000000311e-01 8.671875000000000000e-01 8.256250000000000533e-01 4.937500000000000222e-02 9.668750000000000400e-01 -1.562500000000000000e-01 -2.031250000000000000e+00 4.531250000000000000e+00 3.593750000000000000e+00 1.781250000000000000e+00
4.346875000000000044e-01 7.421875000000000000e-01 7.356249999999999734e-01 5.937500000000000416e-02 9.168749999999999956e-01 2.343750000000000000e+00 -4.531250000000000000e+00 -2.968750000000000000e+00 -3.906250000000000000e+00 1.281250000000000000e+00
2.446875000000000022e-01 9.921875000000000000e-01 5.556250000000000355e-01 3.937500000000000028e-02 1.016874999999999973e+00 -2.656250000000000000e+00 4.687500000000000000e-01 2.031250000000000000e+00 1.093750000000000000e+00 2.812500000000000000e-01
2.921874999999999889e-01 6.796875000000000000e-01 8.706249999999999822e-01 6.437500000000001554e-02 8.918749999999999734e-01 -3.906250000000000000e+00 4.218750000000000000e+00 3.281250000000000000e+00 -1.562500000000000000e-01 1.031250000000000000e+00
4.821874999999999911e-01 9.296875000000000000e-01 6.906250000000000444e-01 4.437499999999999778e-02 9.918750000000000622e-01 1.093750000000000000e+00 -7.812500000000000000e-01 -1.718750000000000000e+00 4.843750000000000000e+00 3.125000000000000000e-02
3.871875000000000178e-01 5.546875000000000000e-01 6.006250000000000755e-01 5.437500000000000666e-02 1.041875000000000107e+00 -1.406250000000000000e+00 -3.281250000000000000e+00 7.812500000000000000e-01 -2.656250000000000000e+00 5.312500000000000000e-01
1.971875000000000155e-01 8.046875000000000000e-01 7.806250000000000133e-01 3.437500000000000278e-02 9.418750000000000178e-01 3.593750000000000000e+00 1.718750000000000000e+00 -4.218750000000000000e+00 2.343750000000000000e+00 1.531250000000000000e+00
1.734374999999999944e-01 7.109375000000000000e-01 5.781250000000000000e-01 4.187500000000000250e-02 9.543749999999999734e-01 2.968750000000000000e+00 3.593750000000000000e+00 1.562500000000000000e-01 -7.812500000000000000e-01 9.062500000000000000e-01
3.634374999999999689e-01 9.609375000000000000e-01 7.581250000000000488e-01 6.187500000000000638e-02 1.054375000000000062e+00 -2.031250000000000000e+00 -1.406250000000000000e+00 -4.843750000000000000e+00 4.218750000000000000e+00 1.906250000000000000e+00
4.584374999999999978e-01 5.859375000000000000e-01 8.481250000000000178e-01 3.187500000000000056e-02 1.004375000000000018e+00 4.687500000000000000e-01 -3.906250000000000000e+00 2.656250000000000000e+00 -3.281250000000000000e+00 1.406250000000000000e+00
2.684374999999999956e-01 8.359375000000000000e-01 6.681250000000000799e-01 5.187500000000000444e-02 9.043750000000000400e-01 -4.531250000000000000e+00 1.093750000000000000e+00 -2.343750000000000000e+00 1.718750000000000000e+00 4.062500000000000000e-01
2.209375000000000089e-01 5.234375000000000000e-01 8.031250000000000888e-01 4.687500000000000000e-02 9.793749999999999956e-01 -3.281250000000000000e+00 4.843750000000000000e+00 -3.593750000000000000e+00 -2.031250000000000000e+00 1.156250000000000000e+00
4.109375000000000111e-01 7.734375000000000000e-01 6.231250000000000400e-01 6.687500000000000389e-02 8.793750000000000178e-01 1.718750000000000000e+00 -1.562500000000000000e-01 1.406250000000000000e+00 2.968750000000000000e+00 1.562500000000000000e-01
3.159374999999999822e-01 6.484375000000000000e-01 7.131250000000000089e-01 3.687499999999999806e-02 9.293750000000000622e-01 -7.812500000000000000e-01 -2.656250000000000000e+00 -1.093750000000000000e+00 -4.531250000000000000e+00 6.562500000000000000e-01
1.259375000000000078e-01 8.984375000000000000e-01 8.931250000000000577e-01 5.687500000000000888e-02 1.029374999999999929e+00 4.218750000000000000e+00 2.343750000000000000e+00 3.906250000000000000e+00 4.687500000000000000e-01 1.656250000000000000e+00
1.289062500000000000e-01 6.992187500000000000e-01 7.103125000000000133e-01 6.218750000000000666e-02 9.121875000000000400e-01 3.671875000000000000e+00 -1.015625000000000000e+00 1.953125000000000000e+00 -2.578125000000000000e+00 7.343750000000000000e-01
3.189062500000000022e-01 9.492187500000000000e-01 8.903125000000000622e-01 4.218750000000000278e-02 1.012187500000000018e+00 -1.328125000000000000e+00 3.984375000000000000e+00 -3.046875000000000000e+00 2.421875000000000000e+00 1.734375000000000000e+00
4.139062499999999756e-01 5.742187500000000000e-01 8.003124999999999822e-01 5.218750000000000472e-02 1.062187500000000062e+00 1.171875000000000000e+00 1.484375000000000000e+00 4.453125000000000000e+00 -7.812500000000000000e-02 1.234375000000000000e+00
2.239062500000000011e-01 8.242187500000000000e-01 6.203125000000000444e-01 3.218750000000000083e-02 9.621874999999999734e-01 -3.828125000000000000e+00 -3.515625000000000000e+00 -5.468750000000000000e-01 4.921875000000000000e+00 2.343750000000000000e-01
2.714062499999999600e-01 5.117187500000000000e-01 8.453125000000000222e-01 6.718750000000001110e-02 1.037187499999999929e+00 -2.578125000000000000e+00 -2.265625000000000000e+00 -4.296875000000000000e+00 -3.828125000000000000e+00 1.484375000000000000e+00
4.614062500000000178e-01 7.617187500000000000e-01 6.653125000000000844e-01 4.718750000000000722e-02 9.371875000000000622e-01 2.421875000000000000e+00 2.734375000000000000e+00 7.031250000000000000e-01 1.171875000000000000e+00 4.843750000000000000e-01
3.664062499999999889e-01 6.367187500000000000e-01 5.753125000000000044e-01 5.718750000000000222e-02 8.871875000000000178e-01 -7.812500000000000000e-02 2.343750000000000000e-01 -1.796875000000000000e+00 -1.328125000000000000e+00 9.843750000000000000e-01
1.764062499999999867e-01 8.867187500000000000e-01 7.553125000000000533e-01 3.718749999999999833e-02 9.871874999999999956e-01 4.921875000000000000e+00 -4.765625000000000000e+00 3.203125000000000000e+00 3.671875000000000000e+00 1.984375000000000000e+00
2.001562499999999800e-01 6.054687500000000000e-01 5.978125000000000799e-01 4.968750000000000250e-02 9.996875000000000622e-01 4.296875000000000000e+00 -3.906250000000000000e-01 -2.421875000000000000e+00 -4.453125000000000000e+00 6.093750000000000000e-01
3.901562499999999822e-01 8.554687500000000000e-01 7.778125000000000178e-01 6.968750000000001332e-02 8.996874999999999734e-01 -7.031250000000000000e-01 4.609375000000000000e+00 2.578125000000000000e+00 5.468750000000000000e-01 1.609375000000000000e+00
4.851562500000000111e-01 7.304687500000000000e-01 8.678125000000000977e-01 3.968750000000000056e-02 9.496875000000000178e-01 1.796875000000000000e+00 2.109375000000000000e+00 -4.921875000000000000e+00 -1.953125000000000000e+00 1.109375000000000000e+00
2.951562500000000089e-01 9.804687500000000000e-01 6.878125000000000488e-01 5.968750000000000444e-02 1.049687500000000107e+00 -3.203125000000000000e+00 -2.890625000000000000e+00 7.812500000000000000e-02 3.046875000000000000e+00 1.093750000000000000e-01
2.476562499999999944e-01 6.679687500000000000e-01 7.328125000000000888e-01 4.468750000000000500e-02 9.246874999999999956e-01 -4.453125000000000000e+00 -1.640625000000000000e+00 3.828125000000000000e+00 -3.203125000000000000e+00 1.359375000000000000e+00
4.376562500000000244e-01 9.179687500000000000e-01 5.528125000000000400e-01 6.468750000000000888e-02 1.024687499999999973e+00 5.468750000000000000e-01 3.359375000000000000e+00 -1.171875000000000000e+00 1.796875000000000000e+00 3.593750000000000000e-01
3.426562499999999956e-01 5.429687500000000000e-01 6.428125000000000089e-01 3.468749999999999611e-02 9.746875000000000400e-01 -1.953125000000000000e+00 8.593750000000000000e-01 1.328125000000000000e+00 -7.031250000000000000e-01 8.593750000000000000e-01
1.526562499999999933e-01 7.929687500000000000e-01 8.228125000000000577e-01 5.468750000000000000e-02 8.746874999999999512e-01 3.046875000000000000e+00 -4.140625000000000000e+00 -3.671875000000000000e+00 4.296875000000000000e+00 1.859375000000000000e+00
1.645312499999999900e-01 5.585937500000000000e-01 7.890625000000000000e-01 5.593750000000000111e-02 9.684375000000000622e-01 2.343750000000000000e-01 4.296875000000000000e+00 -8.593750000000000000e-01 4.609375000000000000e+00 4.218750000000000000e-01
3.545312499999999645e-01 8.085937500000000000e-01 6.090625000000000622e-01 3.593749999999999722e-02 1.068437500000000151e+00 -4.765625000000000000e+00 -7.031250000000000000e-01 4.140625000000000000e+00 -3.906250000000000000e-01 1.421875000000000000e+00
4.495312499999999933e-01 6.835937500000000000e-01 6.990625000000000311e-01 6.593750000000000999e-02 1.018437500000000107e+00 2.734375000000000000e+00 -3.203125000000000000e+00 -3.359375000000000000e+00 2.109375000000000000e+00 1.921875000000000000e+00
2.595312499999999911e-01 9.335937500000000000e-01 8.790625000000000799e-01 4.593750000000000611e-02 9.184375000000000178e-01 -2.265625000000000000e+00 1.796875000000000000e+00 1.640625000000000000e+00 -2.890625000000000000e+00 9.218750000000000000e-01
3.070312499999999778e-01 7.460937500000000000e-01 5.640625000000000222e-01 5.093750000000000361e-02 9.934375000000000844e-01 -1.015625000000000000e+00 3.046875000000000000e+00 2.890625000000000000e+00 3.359375000000000000e+00 1.671875000000000000e+00
4.970312499999999800e-01 9.960937500000000000e-01 7.440625000000000711e-01 3.093749999999999972e-02 8.934374999999999956e-01 3.984375000000000000e+00 -1.953125000000000000e+00 -2.109375000000000000e+00 -1.640625000000000000e+00 6.718750000000000000e-01
4.020312500000000067e-01 6.210937500000000000e-01 8.340625000000000400e-01 6.093750000000000555e-02 9.434375000000000400e-01 -3.515625000000000000e+00 -4.453125000000000000e+00 3.906250000000000000e-01 8.593750000000000000e-01 1.718750000000000000e-01
2.120312500000000044e-01 8.710937500000000000e-01 6.540624999999999911e-01 4.093750000000000167e-02 1.043437500000000018e+00 1.484375000000000000e+00 5.468750000000000000e-01 -4.609375000000000000e+00 -4.140625000000000000e+00 1.171875000000000000e+00
1.882812500000000111e-01 6.523437500000000000e-01 9.015625000000000444e-01 3.343750000000000194e-02 1.055937499999999973e+00 2.109375000000000000e+00 4.921875000000000000e+00 1.015625000000000000e+00 2.734375000000000000e+00 2.968750000000000000e-01
3.782812500000000133e-01 9.023437500000000000e-01 7.215625000000001066e-01 5.343749999999999889e-02 9.559374999999999956e-01 -2.890625000000000000e+00 -7.812500000000000000e-02 -3.984375000000000000e+00 -2.265625000000000000e+00 1.296875000000000000e+00
4.732812499999999867e-01 5.273437500000000000e-01 6.315625000000000266e-01 4.343750000000000389e-02 9.059375000000000622e-01 4.609375000000000000e+00 -2.578125000000000000e+00 3.515625000000000000e+00 2.343750000000000000e-01 1.796875000000000000e+00
2.832812499999999845e-01 7.773437500000000000e-01 8.115624999999999645e-01 6.343750000000000777e-02 1.005937499999999929e+00 -3.906250000000000000e-01 2.421875000000000000e+00 -1.484375000000000000e+00 -4.765625000000000000e+00 7.968750000000000000e-01
2.357812499999999978e-01 5.898437500000000000e-01 6.765625000000000666e-01 3.843749999999999944e-02 8.809375000000000400e-01 -1.640625000000000000e+00 3.671875000000000000e+00 -2.734375000000000000e+00 3.984375000000000000e+00 1.546875000000000000e+00
4.257812500000000000e-01 8.398437500000000000e-01 8.565625000000001155e-01 5.843750000000000333e-02 9.809375000000000178e-01 3.359375000000000000e+00 -1.328125000000000000e+00 2.265625000000000000e+00 -1.015625000000000000e+00 5.468750000000000000e-01
3.307812500000000266e-01 7.148437500000000000e-01 7.665625000000000355e-01 4.843750000000000139e-02 1.030937500000000062e+00 -4.140625000000000000e+00 -3.828125000000000000e+00 -2.343750000000000000e-01 1.484375000000000000e+00 4.687500000000000000e-02
1.407812499999999967e-01 9.648437500000000000e-01 5.865625000000000977e-01 6.843750000000001221e-02 9.309374999999999734e-01 8.593750000000000000e-01 1.171875000000000000e+00 4.765625000000000000e+00 -3.515625000000000000e+00 1.046875000000000000e+00
1.348437499999999845e-01 5.664062500000000000e-01 8.846875000000000711e-01 4.406250000000000444e-02 9.715624999999999956e-01 -2.343750000000000000e-01 -3.671875000000000000e+00 -3.828125000000000000e+00 1.640625000000000000e+00 6.406250000000000000e-01
3.248437499999999867e-01 8.164062500000000000e-01 7.046875000000000222e-01 6.406250000000000833e-02 8.715625000000000178e-01 4.765625000000000000e+00 1.328125000000000000e+00 1.171875000000000000e+00 -3.359375000000000000e+00 1.640625000000000000e+00
4.198437500000000155e-01 6.914062500000000000e-01 6.146875000000000533e-01 3.406250000000000250e-02 9.215625000000000622e-01 -2.734375000000000000e+00 3.828125000000000000e+00 -1.328125000000000000e+00 4.140625000000000000e+00 1.140625000000000000e+00
2.298437500000000133e-01 9.414062500000000000e-01 7.946874999999999911e-01 5.406249999999999944e-02 1.021562499999999929e+00 2.265625000000000000e+00 -1.171875000000000000e+00 3.671875000000000000e+00 -8.593750000000000000e-01 1.406250000000000000e-01
2.773437500000000000e-01 6.289062500000000000e-01 6.596874999999999822e-01 4.906250000000000194e-02 9.465624999999999734e-01 1.015625000000000000e+00 -4.921875000000000000e+00 2.421875000000000000e+00 3.906250000000000000e-01 1.390625000000000000e+00
4.673437500000000022e-01 8.789062500000000000e-01 8.396875000000000311e-01 6.906249999999999889e-02 1.046562500000000062e+00 -3.984375000000000000e+00 7.812500000000000000e-02 -2.578125000000000000e+00 -4.609375000000000000e+00 3.906250000000000000e-01
3.723437499999999734e-01 5.039062500000000000e-01 7.496875000000000622e-01 3.906250000000000000e-02 9.965625000000000178e-01 3.515625000000000000e+00 2.578125000000000000e+00 4.921875000000000000e+00 2.890625000000000000e+00 8.906250000000000000e-01
1.823437499999999989e-01 7.539062500000000000e-01 5.696875000000000133e-01 5.906250000000000389e-02 8.965625000000000400e-01 -1.484375000000000000e+00 -2.421875000000000000e+00 -7.812500000000000000e-02 -2.109375000000000000e+00 1.890625000000000000e+00
2.060937499999999922e-01 7.226562500000000000e-01 8.171874999999999556e-01 6.656249999999999667e-02 8.840624999999999734e-01 -2.109375000000000000e+00 -3.046875000000000000e+00 4.296875000000000000e+00 1.015625000000000000e+00 5.156250000000000000e-01
3.960937500000000222e-01 9.726562500000000000e-01 6.371875000000000178e-01 4.656250000000000666e-02 9.840625000000000622e-01 2.890625000000000000e+00 1.953125000000000000e+00 -7.031250000000000000e-01 -3.984375000000000000e+00 1.515625000000000000e+00
4.910937499999999956e-01 5.976562500000000000e-01 7.271875000000000977e-01 5.656250000000000167e-02 1.034062500000000107e+00 -4.609375000000000000e+00 4.453125000000000000e+00 1.796875000000000000e+00 3.515625000000000000e+00 1.015625000000000000e+00
3.010937499999999933e-01 8.476562500000000000e-01 9.071875000000000355e-01 3.656249999999999778e-02 9.340625000000000178e-01 3.906250000000000000e-01 -5.468750000000000000e-01 -3.203125000000000000e+00 -1.484375000000000000e+00 1.562500000000000000e-02
2.535937500000000067e-01 5.351562500000000000e-01 5.921875000000000888e-01 6.156250000000000611e-02 1.059062500000000018e+00 1.640625000000000000e+00 -4.296875000000000000e+00 -1.953125000000000000e+00 2.265625000000000000e+00 1.265625000000000000e+00
4.435937500000000089e-01 7.851562500000000000e-01 7.721875000000000266e-01 4.156250000000000222e-02 9.590625000000000400e-01 -3.359375000000000000e+00 7.031250000000000000e-01 3.046875000000000000e+00 -2.734375000000000000e+00 2.656250000000000000e-01
3.485937500000000355e-01 6.601562500000000000e-01 8.621875000000001066e-01 5.156250000000000416e-02 9.090624999999999956e-01 4.140625000000000000e+00 3.203125000000000000e+00 -4.453125000000000000e+00 4.765625000000000000e+00 7.656250000000000000e-01
1.585937500000000056e-01 9.101562500000000000e-01 6.821875000000000577e-01 3.156250000000000028e-02 1.009062499999999973e+00 -8.593750000000000000e-01 -1.796875000000000000e+00 5.468750000000000000e-01 -2.343750000000000000e-01 1.765625000000000000e+00
1.467187500000000089e-01 6.757812500000000000e-01 6.259375000000000355e-01 3.781249999999999889e-02 1.027812500000000018e+00 -3.671875000000000000e+00 1.640625000000000000e+00 2.734375000000000000e+00 -1.171875000000000000e+00 4.531250000000000000e-01
