om s8 a1 alpha1 sig8 map3-chi2 prior like post weight
3.334169387817382812e-01 7.666483211517333141e-01 3.926258683204650879e+00 1.495909094810485840e+00 7.272152647354892530e-01 2.212587612892615407e+00 3.106478032792228205e+01 3.269846534138734569e+03 3.300911314466656677e+03 3.080737766810869527e-32
2.558501958847045898e-01 7.143084967136382746e-01 1.643006801605224609e+00 -2.482945919036865234e+00 7.734879753625026888e-01 1.122925989362496768e+00 2.934684699336624192e+01 3.270093439608695462e+03 3.299440286602061860e+03 3.935644177090137776e-32
4.514017343521118386e-01 7.130150842666626021e-01 2.949846982955932617e+00 6.595224142074584961e-01 5.812697648134677042e-01 1.754298481283455002e+00 3.189935101588510591e+01 3.270230662687385120e+03 3.302130013703270379e+03 4.505494498507266689e-32
4.343567371368408647e-01 7.343987011909484108e-01 3.902280330657958984e+00 2.179080843925476074e+00 6.103363644873511795e-01 1.624917746273306873e+00 2.989774897934317366e+01 3.270267412848951153e+03 3.300165161828294458e+03 4.664813305292495450e-32
2.878564834594726785e-01 7.686193525791167325e-01 4.289915561676025391e+00 1.942278742790222168e+00 7.846643736258342994e-01 1.434777046505492981e+00 2.821616381593859302e+01 3.270757717097553268e+03 3.298973880913491939e+03 7.601549148114489046e-32
1.531700134277343972e-01 7.578358113765716331e-01 -3.237056732177734375e-01 -2.640972137451171875e+00 1.060593292204517146e+00 3.825424838803168637e+00 2.921562177763349410e+01 3.271345836115114253e+03 3.300561457892747967e+03 1.365998941647252143e-31
4.773091077804565430e-01 8.085450160503386829e-01 1.032866835594177246e+00 4.750450253486633301e+00 6.410102455051854831e-01 3.100277020117724547e+00 3.025570973244840545e+01 3.271379962772632098e+03 3.301635672505080493e+03 1.410596470812787787e-31
2.962695360183715820e-01 7.492718052864074663e-01 -9.543466567993164062e-01 1.044232845306396484e+00 7.539742593250076119e-01 1.152986177462546946e+00 2.882585544775370323e+01 3.271421689499840795e+03 3.300247544947594633e+03 1.467762850398875790e-31
4.091107845306396484e-01 8.035095787048339711e-01 1.333892345428466797e-02 -2.630846500396728516e+00 6.880677800299772606e-01 2.619595381314156590e+00 2.644559211691937151e+01 3.271647682431567318e+03 3.298093274548486534e+03 1.836262586275681928e-31
2.496830463409424050e-01 7.410123372077941362e-01 3.328863978385925293e+00 1.226122975349426270e+00 8.122534016329997497e-01 1.354378960083212124e+00 2.982370734058651252e+01 3.271722819792757036e+03 3.301546527133343716e+03 1.975595089305676734e-31
2.678115606307983620e-01 7.532865834236144309e-01 4.123266339302062988e+00 3.463822007179260254e+00 7.972714264587882349e-01 1.239525906947241740e+00 2.901915722827598643e+01 3.272140115159906600e+03 3.301159272388182671e+03 2.992667203751201278e-31
2.921423912048339844e-01 8.241007208824157049e-01 6.194192171096801758e-01 -4.531186819076538086e+00 8.351098988562187797e-01 6.608532845740340278e+00 2.851351686949539044e+01 3.272160986539001442e+03 3.300674503408497003e+03 3.049679216752837950e-31
1.113865613937378013e-01 8.037265896797179954e-01 -8.817327022552490234e-01 2.191920280456542969e+00 1.319023597337397824e+00 1.067538055765054672e+01 2.669571194454633911e+01 3.273367505596289902e+03 3.300063217540836376e+03 1.017115189381046294e-30
1.343116283416748158e-01 7.160841131210327060e-01 -4.910176992416381836e-01 -2.639134526252746582e+00 1.070207176395686632e+00 5.271206473636220746e-01 3.220043943345508808e+01 3.273528377957753946e+03 3.305728817391208850e+03 1.192250545830393570e-30
4.796386718749999778e-01 8.354477679729461759e-01 6.261050701141357422e-01 3.625520467758178711e+00 6.607281872066476103e-01 4.438188609288901354e+00 3.120199074243700821e+01 3.273606957402489115e+03 3.304808948144926035e+03 1.287139328035932829e-30
3.988404512405395730e-01 8.275285780429839644e-01 2.786595821380615234e+00 4.813092947006225586e+00 7.177017887081257319e-01 5.810224948837945824e+00 3.195252254540654846e+01 3.274339964189815419e+03 3.306292486735222155e+03 2.673608259335447803e-30
3.102090835571289507e-01 8.364694035053252819e-01 3.164952993392944336e-01 -3.404641151428222656e+00 8.225900119515721087e-01 1.599495174649014295e+01 2.673434201571703994e+01 3.274401566730947252e+03 3.301135908746664427e+03 2.837806825240288937e-30
4.079677581787110041e-01 7.574187123775482089e-01 3.562092781066894531e-02 1.597344875335693359e-01 6.495068515111068752e-01 1.723852581025297592e+00 2.913957359991540130e+01 3.274709894457993414e+03 3.303849468057908780e+03 3.854954623971225656e-30
1.962225198745727595e-01 7.229430651664733309e-01 2.530110478401184082e+00 3.668069839477539062e-02 8.939028031683042830e-01 7.717419358129989915e-01 2.923212918333631194e+01 3.274921916358161525e+03 3.304154045541497908e+03 4.755877095089727825e-30
3.033003330230713002e-01 7.144318807125090709e-01 2.622988820075988770e+00 6.607472896575927734e-02 7.105342383054852329e-01 7.176275305087072010e-01 2.874705095255480103e+01 3.274943149899009313e+03 3.303690200851563986e+03 4.848234787053703462e-30
4.185827906633543538e-01 7.515169401787423764e-01 -2.512790198870353819e-01 -1.804848409786883323e-01 6.362220510836358311e-01 1.443529172946481420e+00 2.807551380742580704e+01 3.275485617049744633e+03 3.303561130857170610e+03 8.323491581201112829e-30
4.431391716003417747e-01 8.126205682754515935e-01 1.657521724700927734e+00 4.934820532798767090e+00 6.686184665530356952e-01 4.012967276131702121e+00 3.193372416532181646e+01 3.275709308223613789e+03 3.307643032388935808e+03 1.038926438037995311e-29
4.938312530517577903e-01 8.377303636074066029e-01 6.237924098968505859e-01 -7.952135801315307617e-01 6.529434931589512825e-01 5.246167965145164480e+00 3.154672784942796326e+01 3.275811594128986599e+03 3.307358321978414551e+03 1.148519606329190992e-29
3.241669416427612749e-01 7.795208203792571844e-01 -2.301883697509765625e-01 1.918761730194091797e+00 7.499010900088085574e-01 2.979613722599918635e+00 3.082539024354850810e+01 3.276066491711308117e+03 3.306891881954856672e+03 1.479007709814830580e-29
1.551831007003784402e-01 7.477260339260101141e-01 -2.169708609580993652e+00 2.321168184280395508e+00 1.039635059384554028e+00 1.858146163406837914e+00 3.048594833466551179e+01 3.276462009972609849e+03 3.306947958307275258e+03 2.192165039235210639e-29
4.735352516174317072e-01 7.962541472911834894e-01 -1.223605871200561523e-01 4.246565103530883789e+00 6.337765663302442620e-01 1.049373953718954144e+00 2.948247877528670102e+01 3.276489597821022926e+03 3.305972076596309762e+03 2.248981633187716652e-29
2.375581741333007979e-01 7.697875702381133944e-01 3.878278732299804688e+00 2.349985837936401367e+00 8.650606003668610544e-01 3.045230439162946556e+00 3.198575596021369805e+01 3.276751840070024627e+03 3.308737596030238365e+03 2.917478615123421999e-29
1.738347291946411022e-01 7.038958001136779163e-01 3.944960832595825195e+00 4.772880077362060547e+00 9.246997253030815322e-01 5.432315194819420379e-01 2.784303717146266166e+01 3.276945883111877720e+03 3.304788920283340303e+03 3.535174979028320960e-29
1.679826974868774414e-01 7.444970715045928777e-01 1.063853502273559570e+00 -4.027611017227172852e-01 9.949272953245684725e-01 2.925361562771597868e+00 3.007305920561006118e+01 3.276960670580252554e+03 3.307033729785862761e+03 3.580671187981389984e-29
3.178578615188598633e-01 8.322842860221861816e-01 3.186078667640686035e+00 2.213834524154663086e+00 8.085666857680070541e-01 1.218816412259600135e+01 2.622052202258679188e+01 3.276992280886660410e+03 3.303212802909247330e+03 3.688281280581655749e-29
1.990748882293701394e-01 7.949550437927246360e-01 1.091185808181762695e+00 -1.166143417358398438e+00 9.758767164757514712e-01 6.589985598779938059e+00 2.924783930279870248e+01 3.277458776908715208e+03 3.306706616211513847e+03 5.868837621115959801e-29
4.230188369750976785e-01 8.080309939384460183e-01 2.438713908195495605e+00 7.949656248092651367e-01 6.804697027058116410e-01 3.280531298558160280e+00 3.156357770231636195e+01 3.277657017650676153e+03 3.309220595352992405e+03 7.141317877068625367e-29
2.752480268478393333e-01 7.036370825767516157e-01 -2.727013826370239258e-01 -3.507773876190185547e+00 7.345937676651314030e-01 1.229243413768225990e+00 2.894520610498256019e+01 3.277697621914350293e+03 3.306642828019332683e+03 7.422393650870069062e-29
2.611599922180175559e-01 7.846956217288970636e-01 2.429594993591308594e+00 9.668236970901489258e-01 8.410242788976691752e-01 4.655167899060309367e+00 2.879811904729864835e+01 3.277753272536987424e+03 3.306551391584286193e+03 7.831485587816322330e-29
3.680287361145019309e-01 8.259671020507812766e-01 1.698493957519531250e+00 -1.583548784255981445e+00 7.457315410078794171e-01 6.289702188501098412e+00 3.103880133394272534e+01 3.277775977786522617e+03 3.308814779120465118e+03 7.995328805135739416e-29
2.533932924270629883e-01 7.266974067687987926e-01 3.092074394226074219e+00 3.152668476104736328e-02 7.907089972239589315e-01 1.413543668695418587e+00 2.886968894321395140e+01 3.277793686425905889e+03 3.306663375369119876e+03 8.121916196868002227e-29
4.751369714736938255e-01 8.284664499759674117e-01 1.180312037467956543e+00 3.608835339546203613e+00 6.583034641613019211e-01 3.750536182903793758e+00 3.178976884071607500e+01 3.278000709152260697e+03 3.309790477992976776e+03 9.970082288239205710e-29
3.204718828201293945e-01 8.355144333839416015e-01 -2.390074729919433594e-01 4.393832087516784668e+00 8.083875532655072638e-01 8.813085067149037499e+00 3.146847971844218605e+01 3.278100565944717346e+03 3.309569045663159613e+03 1.099505504082554961e-28
2.720095157623291238e-01 7.056759476661681463e-01 -2.271866798400878906e-01 -2.585259079933166504e+00 7.410950181944635506e-01 1.558594616687681178e+00 3.003956357584239711e+01 3.278443234605279031e+03 3.308482798181121325e+03 1.545780865986688401e-28
3.287227869033813588e-01 7.038003623485564741e-01 -8.030068874359130859e-01 1.426520943641662598e+00 6.723496890373431567e-01 1.502974829211453534e+00 3.119797539981660250e+01 3.278707164681411996e+03 3.309905140081228637e+03 2.008642807146113586e-28
4.127822875976562278e-01 8.393915247917175249e-01 2.791121602058410645e+00 1.511045694351196289e+00 7.155906880642263213e-01 7.344512539041859078e+00 3.166150637744964413e+01 3.278803279184045550e+03 3.310464785561495319e+03 2.206866809451078748e-28
1.715086460113525446e-01 8.097013258934020463e-01 1.346462368965148926e+00 -1.517336964607238770e+00 1.070884095567627536e+00 1.082132116592063298e+01 3.084206639079074463e+01 3.278876815380939661e+03 3.309718881771730594e+03 2.370521500174614767e-28
4.633026819803580665e-01 7.884359494557366954e-01 1.541425572387851162e-01 2.381137040335799426e+00 6.344459630583475507e-01 1.496592733161486999e+00 3.178194958590848884e+01 3.279136330176995216e+03 3.310918279762903694e+03 3.066769628286920220e-28
2.004544496536254938e-01 8.116828382015227605e-01 2.253599166870117188e+00 7.439988851547241211e-01 9.929768884057235123e-01 9.857130234512464284e+00 2.527296081042740639e+01 3.279569353248823973e+03 3.304842314059251294e+03 4.719240336999883867e-28
2.708495140075684038e-01 8.221054315567015713e-01 3.977574706077575684e+00 4.196974635124206543e+00 8.652151484222226907e-01 9.416770581232112747e+00 3.217914903396896875e+01 3.279723910366957625e+03 3.311903059400926395e+03 5.497013579523267435e-28
3.823120355606078880e-01 8.190595674514770108e-01 1.790320873260498047e-01 -2.265322208404541016e-01 7.255496382678917611e-01 4.974804075994893715e+00 3.079795195755972870e+01 3.279793047496099462e+03 3.310590999453659151e+03 5.878737855055478656e-28
4.584482192993164507e-01 8.293780529499052978e-01 6.184095144271850586e-01 -9.178662300109863281e-01 6.709158023686243588e-01 4.018207265340692835e+00 3.208470479322511437e+01 3.279832038540910162e+03 3.311916743334135390e+03 6.100270614205698224e-28
2.430622577667236328e-01 7.160558247566222168e-01 -1.853455901145935059e+00 2.852135300636291504e+00 7.955156821207264306e-01 1.173417623942515142e+00 2.575066509387152180e+01 3.279852134781050154e+03 3.305602799874921857e+03 6.211667468324078266e-28
1.159044027328491322e-01 7.304227173328399214e-01 -6.034207344055175781e-01 -1.748946309089660645e+00 1.175127345945814250e+00 1.378751516051782477e+00 2.928464756574440031e+01 3.280027887034658306e+03 3.309312534600402614e+03 7.390398272374723164e-28
2.132104158401489369e-01 7.751157879829406738e-01 -3.123980760574340820e-01 2.320674657821655273e+00 9.194391700849791071e-01 4.559657409511184589e+00 2.837541349395088730e+01 3.280083961181300310e+03 3.308459374675251183e+03 7.801029979019084659e-28
3.034868001937865989e-01 7.778127706050872447e-01 -2.233761548995971680e-01 -2.416107058525085449e+00 7.733316652552232329e-01 2.024379163856466768e+00 2.890888195452463805e+01 3.280268223826042231e+03 3.309177105780566762e+03 9.360684501442610679e-28
1.863200426101684626e-01 7.687520909309386585e-01 3.083326220512390137e+00 1.609557867050170898e-01 9.754772605380438444e-01 2.780912670470978121e+00 3.326686223291241618e+01 3.280323465438527819e+03 3.313590327671440264e+03 9.872568284552979125e-28
1.875960588455200251e-01 8.101499927043914751e-01 4.865205287933349609e-01 3.121485710144042969e+00 1.024505288808694514e+00 1.121598242249019073e+01 3.012053761554839681e+01 3.280650727791996360e+03 3.310771265407544888e+03 1.366752231192232002e-27
1.990983247756958063e-01 8.192785894870757701e-01 -1.118006706237792969e+00 4.538281559944152832e+00 1.005676796223068603e+00 1.076683412588411493e+01 2.921626676526263111e+01 3.281209248403921720e+03 3.310425515169184564e+03 2.384424756956845485e-27
1.871654987335205078e-01 7.854906082153320090e-01 -2.826362848281860352e-01 9.470754861831665039e-01 9.944632215903925765e-01 5.796915916079016462e+00 2.930484962152090134e+01 3.281214581901924248e+03 3.310519431523445292e+03 2.392386494967624551e-27
4.039582490921020952e-01 7.377883064746856290e-01 -5.083471536636352539e-01 1.969063282012939453e+00 6.358053155093930098e-01 1.149684259190815627e+00 3.187456818535589420e+01 3.281238164388352288e+03 3.313112732573708399e+03 2.444581365537502275e-27
2.906806945800781694e-01 7.795357656478881792e-01 -4.840010404586791992e-01 4.656029343605041504e+00 7.919332515817719687e-01 3.497560851243299851e+00 3.173952090625092737e+01 3.281362902331542955e+03 3.313102423237794028e+03 2.763814610677491675e-27
2.405400276184082031e-01 7.175185418128966486e-01 2.767794132232666016e+00 -5.179941654205322266e-02 8.013091050164724560e-01 1.402546593530398455e+00 2.887559969763459122e+01 3.281374040164705548e+03 3.310249639862340246e+03 2.789185629008923200e-27
2.955853462219238392e-01 7.077020287513732244e-01 -1.639717817306518555e-01 1.502389907836914062e+00 7.129673105908648223e-01 1.979307872853812933e+00 2.656864350759213522e+01 3.281422816070703902e+03 3.307991459578296144e+03 2.922751800633219013e-27
1.862819671630859542e-01 7.280275857448577081e-01 3.666164875030517578e+00 1.357694268226623535e+00 9.238959325238764730e-01 7.927815738223458197e-01 2.972470441093456728e+01 3.281432117710390685e+03 3.311156822121325149e+03 2.944170782858695880e-27
3.679232835769653542e-01 7.472207820415496249e-01 3.616840243339538574e+00 2.429586648941040039e+00 6.747314184740833554e-01 5.894062840014472338e-01 2.834329815725249091e+01 3.281457350099802625e+03 3.309800648257054945e+03 3.013371643114059998e-27
1.203681945800781361e-01 7.280725634098053067e-01 1.079018115997314453e+00 4.001289010047912598e+00 1.149421773080637310e+00 1.030156171717216740e+00 3.087797863686101962e+01 3.281658436844861626e+03 3.312536415481722543e+03 3.677180698904250618e-27
4.396724939346313699e-01 7.597707688808440496e-01 3.262816667556762695e+00 1.689514517784118652e+00 6.275936772524612905e-01 9.299992298770323185e-01 2.664976124115340284e+01 3.281893042997580324e+03 3.308542804238733879e+03 4.640176929438845505e-27
2.048274755477905440e-01 7.048681771755218595e-01 -2.473562359809875488e+00 3.510249853134155273e+00 8.530498775435354508e-01 5.677021761387363030e-01 3.276351507160335785e+01 3.281944150209710642e+03 3.314707665281313894e+03 4.873730737376831477e-27
3.618900537490844505e-01 7.190931522846221169e-01 4.416096210479736328e+00 3.588348627090454102e+00 6.547227878459884742e-01 1.425611852377449473e+00 3.094766042759362179e+01 3.281982125188425471e+03 3.312929785616019217e+03 5.052255047628613355e-27
4.889478445053100364e-01 8.374298894405365346e-01 1.063814163208007812e+00 3.350360393524169922e+00 6.559606945179592419e-01 3.083034737327058572e+00 2.935076956310289376e+01 3.282005398622363828e+03 3.311356168185466686e+03 5.160885233398277172e-27
2.518428325653075950e-01 7.871280121803283514e-01 -1.963231563568115234e+00 4.218337535858154297e+00 8.590950129184224959e-01 2.490606116441366868e+00 3.093058951463492079e+01 3.282180256997291508e+03 3.313110846511926411e+03 6.134732632736324980e-27
3.808495759963989036e-01 7.124348390102386297e-01 3.726888895034790039e+00 1.619517207145690918e+00 6.323085262743898260e-01 2.079912500735388470e+00 3.027729679402375140e+01 3.282341866187176947e+03 3.312619162981200589e+03 7.196362474270658565e-27
1.515156874353008887e-01 7.329964017038531621e-01 3.874430173215035467e+00 4.906421318175954838e+00 1.031415538239279783e+00 1.255092637445904380e+00 3.038028573340089977e+01 3.282918189131760300e+03 3.313298474865161097e+03 1.278021958895366559e-26
2.200312614440917969e-01 7.381607449054717884e-01 -1.509121060371398926e+00 2.189424037933349609e+00 8.619248043025339312e-01 7.326257698404649021e-01 2.878806180517519664e+01 3.283007555842549209e+03 3.311795617647724612e+03 1.394701269802355958e-26
4.630153894424439143e-01 8.372900998592376354e-01 7.062023878097534180e-01 -2.786147594451904297e-01 6.739673695071096704e-01 7.377375419443911397e+00 2.677056830710280622e+01 3.283224180047772734e+03 3.309994748354875355e+03 1.728587245948179368e-26
2.398363828659057784e-01 7.969947433471679110e-01 -2.584737539291381836e-01 -2.353310585021972656e+00 8.913711045229527619e-01 4.866626400244464357e+00 2.907486210287747497e+01 3.283286856533260561e+03 3.312361718636137994e+03 1.836719205351136297e-26
3.620299100875854492e-01 7.244187331199645197e-01 4.373008608818054199e+00 3.456388711929321289e+00 6.594442314447066522e-01 1.256395023859616211e+00 2.882635866242289779e+01 3.283573943827348558e+03 3.312400302489771548e+03 2.442612671936630572e-26
4.573507308959960938e-01 8.005442655086516535e-01 2.655094861984252930e-01 1.176902055740356445e+00 6.483675779534696648e-01 1.820206032468568935e+00 3.236207100630231537e+01 3.283589192042456943e+03 3.315951263048759301e+03 2.475188237634326171e-26
2.368328094482421986e-01 8.297807323932647749e-01 3.659539222717285156e+00 1.449040174484252930e+00 9.339057302877277200e-01 1.150207478740874834e+01 2.981608630008814131e+01 3.283595714454496829e+03 3.313411800754584874e+03 2.486407408456507826e-26
2.878859519958496538e-01 7.544329297542571311e-01 -1.012111306190490723e+00 3.169351220130920410e+00 7.701423879022234464e-01 1.502067023224213038e+00 3.061848850699344027e+01 3.284123686100437226e+03 3.314742174607430570e+03 4.207255381529448895e-26
1.106728076934814509e-01 7.560221350193023770e-01 -7.738053798675537109e-02 -1.165793538093566895e+00 1.244728617526223768e+00 3.903133620507424517e+00 2.784119685421269708e+01 3.284264734679402864e+03 3.312105931533615603e+03 4.834893422202121807e-26
4.268321275711060014e-01 7.040696024894713689e-01 3.956630229949951172e+00 3.313174843788146973e+00 5.902658683604071754e-01 1.929457030078157276e+00 2.888954235197017084e+01 3.284389578895401883e+03 3.313279121247372132e+03 5.466853933391567339e-26
2.075468270190840570e-01 7.595068892652669934e-01 2.465056647395829081e+00 4.805288243349883359e-01 9.131335416963878293e-01 2.576736995380372264e+00 3.070868986725319516e+01 3.284437881763044516e+03 3.315146571630297785e+03 5.725936800481714083e-26
2.985561609268188588e-01 8.159254503250121804e-01 1.932270526885986328e+00 -1.357090473175048828e-01 8.178960078478234585e-01 1.023379146163521014e+01 3.034709028756160976e+01 3.284707510495996758e+03 3.315054600783558271e+03 7.483008389793316259e-26
3.002075765760510162e-01 7.255326707636443606e-01 -9.105948699171984018e-01 6.258042347769601221e-01 7.252817949666372499e-01 5.084461401536065628e-01 3.035438829726741616e+01 3.284842170901719328e+03 3.315196559198986961e+03 8.544564142912223078e-26
3.258522510528564231e-01 7.082739710807799405e-01 2.670402526855468750e+00 2.530139684677124023e-01 6.795971461441744355e-01 1.417459109836627817e+00 3.088981645473546322e+01 3.284919209514840077e+03 3.315809025969575487e+03 9.210405901511721630e-26
2.096002101898193359e-01 7.674028694629668745e-01 3.488366603851318359e+00 3.455943465232849121e+00 9.180961986655533646e-01 2.503332110883770056e+00 3.095001405584578080e+01 3.285112084224909722e+03 3.316062098280755436e+03 1.114742613324951902e-25
1.260783616477564872e-01 7.708530181135879733e-01 7.569917701285833189e-01 -3.672694329332193419e-01 1.189082331947373561e+00 5.521513048768385445e+00 3.183558715916429449e+01 3.285325373483064141e+03 3.317160960642228474e+03 1.377007679006569342e-25
1.305951833724975641e-01 7.318457722663879172e-01 -2.445033788681030273e+00 3.620522618293762207e+00 1.109217252656984565e+00 1.308784598651650644e+00 3.099971717257370685e+01 3.285711173774126564e+03 3.316710890946700147e+03 2.021243846323570036e-25
3.946503162384032981e-01 7.289477920532225763e-01 2.665587663650512695e+00 4.083514213562011719e-01 6.355516120482499476e-01 1.557214928352282257e+00 2.857772788294424515e+01 3.285878060454032038e+03 3.314455788336976184e+03 2.383570961800349661e-25
3.296865463256836160e-01 8.113160324096679865e-01 4.062604904174804688e+00 2.797625660896301270e+00 7.739271333481766435e-01 4.807486753409627056e+00 2.919860922256840752e+01 3.285956076507325179e+03 3.315154685729893572e+03 2.571825146562375297e-25
1.478378879589283545e-01 8.034053223161838897e-01 1.062762182970661939e+00 -2.314188182160940688e+00 1.144464845710736922e+00 1.064271438055522623e+01 3.189904355034920158e+01 3.286113919005028492e+03 3.318012962555377726e+03 3.005543203829123792e-25
3.247962713241577259e-01 7.634034287929534202e-01 -2.549201250076293945e-01 -6.172829866409301758e-01 7.336842837503063652e-01 1.793737606143194663e+00 2.742802382006947681e+01 3.286238170330660068e+03 3.313666194150729552e+03 3.396378252255442983e-25
1.494568496941756641e-01 7.019895542483338691e-01 1.544412763344093165e+00 -2.694826356804487233e-01 9.945654430185655315e-01 7.192546961598265121e-01 3.086132828636766945e+01 3.286437854970676653e+03 3.317299183257044206e+03 4.138751962118077042e-25
3.228334903717041127e-01 7.975352847576141491e-01 3.055683374404907227e+00 4.788077473640441895e+00 7.688139286711118681e-01 3.120203636340870279e+00 3.054532457135318779e+01 3.286559640057879733e+03 3.317104964629233109e+03 4.665427039032580897e-25
2.999035596847534624e-01 8.382915329933166015e-01 2.829934954643249512e+00 1.180755496025085449e+00 8.384263073212349093e-01 9.317951345480267378e+00 3.000927727943623680e+01 3.286598471195939510e+03 3.316607748475375956e+03 4.840463638537150142e-25
3.200702667236328125e-01 7.463332784175872314e-01 6.764239072799682617e-01 -4.333102703094482422e+00 7.225547633063313935e-01 7.297739896970941720e-01 2.910130536411298863e+01 3.286743186576893549e+03 3.315844491941006709e+03 5.582997899970170450e-25
